#  file: rfProjStatus2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, code_on_page, date_collected, datasource_id
#  FROM rf_project_status
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
application	9	Alpha	2010-05-04 12:53:49	219
appmath	9	Alpha	2010-05-04 12:53:49	219
approach	9	Alpha	2010-05-04 12:53:50	219
appswarm	8	Pre-Alpha	2010-05-04 12:53:50	219
apptrain	8	Pre-Alpha	2010-05-04 12:53:50	219
apriori	10	Beta	2010-05-04 12:53:50	219
apropos	10	Beta	2010-05-04 12:53:50	219
apt	8	Pre-Alpha	2010-05-04 12:53:50	219
aquarium	9	Alpha	2010-05-04 12:53:50	219
ar-copyable	7	Planning	2010-05-04 12:53:50	219
ar-timeline	8	Pre-Alpha	2010-05-04 12:53:50	219
arbypod	7	Planning	2010-05-04 12:53:51	219
arcadia	10	Beta	2010-05-04 12:53:51	219
arcallproc	8	Pre-Alpha	2010-05-04 12:53:51	219
archeodata	8	Pre-Alpha	2010-05-04 12:53:51	219
archipelago	10	Beta	2010-05-04 12:53:51	219
archive-tar	10	Beta	2010-05-04 12:53:51	219
archive-zip	10	Beta	2010-05-04 12:53:51	219
archives	9	Alpha	2010-05-04 12:53:52	219
arduous	7	Planning	2010-05-04 12:53:52	219
arfparser	10	Beta	2010-05-04 12:53:52	219
argent	10	Beta	2010-05-04 12:53:52	219
argible	11	Production/Stable	2010-05-04 12:53:52	219
arid	10	Beta	2010-05-04 12:53:52	219
armorsmith	7	Planning	2010-05-04 12:53:52	219
as3-puremvc	8	Pre-Alpha	2010-05-04 12:53:52	219
as3spec	9	Alpha	2010-05-04 12:53:52	219
asami	9	Alpha	2010-05-04 12:53:52	219
ascii85	10	Beta	2010-05-04 12:53:52	219
asf	10	Beta	2010-05-04 12:53:52	219
asgoogleaccount	9	Alpha	2010-05-04 12:53:52	219
asl	10	Beta	2010-05-04 12:53:52	219
asmxml	9	Alpha	2010-05-04 12:53:52	219
aspectr	11	Production/Stable	2010-05-04 12:53:52	219
asproject	8	Pre-Alpha	2010-05-04 12:53:52	219
assert2	12	Mature	2010-05-04 12:53:52	219
assertions	11	Production/Stable	2010-05-04 12:53:52	219
assertunique	8	Pre-Alpha	2010-05-04 12:53:52	219
assertxpath	12	Mature	2010-05-04 12:53:52	219
assetdb	9	Alpha	2010-05-04 12:53:52	219
assistance	10	Beta	2010-05-04 12:53:52	219
assit	9	Alpha	2010-05-04 12:53:52	219
assoc-mgmt	7	Planning	2010-05-04 12:53:52	219
assocext	9	Alpha	2010-05-04 12:53:52	219
assocupload	9	Alpha	2010-05-04 12:53:52	219
asterisk-ruby	10	Beta	2010-05-04 12:53:53	219
asteriskonrails	7	Planning	2010-05-04 12:53:53	219
astro-algo	10	Beta	2010-05-04 12:53:53	219
astromoon	10	Beta	2010-05-04 12:53:53	219
atlasonrails	10	Beta	2010-05-04 12:53:53	219
atom	10	Beta	2010-05-04 12:53:53	219
atompp	9	Alpha	2010-05-04 12:53:53	219
atompubclient	9	Alpha	2010-05-04 12:53:53	219
atompublog	7	Planning	2010-05-04 12:53:53	219
attachr	10	Beta	2010-05-04 12:53:53	219
audioscrobbler	11	Production/Stable	2010-05-04 12:53:53	219
augment	8	Pre-Alpha	2010-05-04 12:53:53	219
aurita	11	Production/Stable	2010-05-04 12:53:53	219
aurora	9	Alpha	2010-05-04 12:53:53	219
aurum	8	Pre-Alpha	2010-05-04 12:53:53	219
auth-resource	10	Beta	2010-05-04 12:53:53	219
auth-typekey	10	Beta	2010-05-04 12:53:53	219
authentable	9	Alpha	2010-05-04 12:53:53	219
authentication	9	Alpha	2010-05-04 12:53:53	219
authorails	10	Beta	2010-05-04 12:53:53	219
authorization	11	Production/Stable	2010-05-04 12:53:53	219
auto	10	Beta	2010-05-04 12:53:53	219
autobuild	11	Production/Stable	2010-05-04 12:53:53	219
autocode	10	Beta	2010-05-04 12:53:53	219
autodoc-fortran	11	Production/Stable	2010-05-04 12:53:53	219
autodrop	10	Beta	2010-05-04 12:53:53	219
autoescape	8	Pre-Alpha	2010-05-04 12:53:53	219
autom-proyectos	8	Pre-Alpha	2010-05-04 12:53:53	219
automateit	10	Beta	2010-05-04 12:53:54	219
automatic-fk	11	Production/Stable	2010-05-04 12:53:54	219
automaton	9	Alpha	2010-05-04 12:53:54	219
autometric	9	Alpha	2010-05-04 12:53:54	219
autozest	9	Alpha	2010-05-04 12:53:54	219
