#  file: fsfProjectRelated2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.related_project_name, pi.datasource_id 
#  FROM fsf_project_related pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.related_project_name
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	related_project_name	datasource_id
5248	AmphetaDesk	Rippy the Aggregator	221
5248	AmphetaDesk	straw	221
5973	anagramarama	Pynagram	221
3858	analog	BlueDot	221
3858	analog	Lire	221
3858	analog	MagicStats	221
3858	analog	sysindex	221
3858	analog	Visitors	221
5247	AnGramadoir	Geiriadur	221
3855	animail	bogofilter	221
3855	animail	Fetchmail	221
3855	animail	Getmail	221
3855	animail	Spam Assassin	221
3853	annif	cday-php	221
3853	annif	Celebrat	221
3853	annif	Penguin Greetings	221
3853	annif	Wcal	221
3853	annif	WebCalendar	221
3853	annif	Xdiary	221
3852	anomysanitizer	Renattach	221
5245	Ansel	Gallery	221
5245	Ansel	Mig	221
5245	Ansel	Photo Organizer	221
5245	Ansel	PHPortfolio	221
5245	Ansel	PHPoto	221
5273	ANT	Asterisk	221
5273	ANT	Bayonne	221
5273	ANT	gnucomm	221
3850	ant	Isdnserver	221
3850	ant	Kisdnmonitor	221
5273	ANT	Linphone	221
3850	ant	make	221
3850	ant	Rats	221
5273	ANT	Speak Freely	221
5244	Anti-Web	Fnord httpd	221
5244	Anti-Web	Monkey HHTP Daemon	221
5244	Anti-Web	rws	221
5244	Anti-Web	Thy	221
5244	Anti-Web	webfs	221
5243	AntiAliasingTool	GIMP	221
5241	AntiRight	Xbae	221
3841	apache	Apache::Session	221
3841	apache	Biferno	221
3841	apache	Bigwig	221
3841	apache	Interchange	221
3841	apache	lighttpd	221
3841	apache	MaraDNS	221
3841	apache	My Server 	221
3841	apache	Pound	221
3841	apache	runwig	221
3841	apache	Spyce	221
3841	apache	WormScan	221
3842	apache-session	Apache	221
5240	Apophenia	dap	221
5240	Apophenia	PSPP	221
5240	Apophenia	Statist	221
5239	App	filepp	221
3832	apsfilter	Foomatic	221
3832	apsfilter	GNU ghostscript  	221
3832	apsfilter	LPRng	221
5272	APSR	Fireflier 	221
3831	apt-torrent	BitTorrent	221
3829	aqsis	3DKit	221
3829	aqsis	Ayam	221
3829	aqsis	DrQueue	221
3829	aqsis	GTO	221
3829	aqsis	MAM/VRS	221
3829	aqsis	Panorama	221
5237	Aquarium	Plone	221
5237	Aquarium	Zope	221
3828	ara	alien	221
3828	ara	debfoster	221
3828	ara	feta	221
3828	ara	Sdcdc 	221
3827	archimedes	Aeneas	221
3827	archimedes	Oregano	221
3826	archive	Rox	221
3825	archmbox	Lurker	221
3825	archmbox	Mailbox Copy	221
3821	argtable	tclap	221
3817	aricalc	Kalculator	221
3815	aroundme	beacon	221
3813	arping	Fping	221
3813	arping	Scapy	221
3812	arson	BashBurn	221
3812	arson	Cdparanoia	221
3812	arson	crip	221
3812	arson	K3b	221
3812	arson	Phaser	221
3812	arson	Rip	221
3812	arson	ripit	221
5236	ArtofIllusion	Cave	221
5236	ArtofIllusion	GTO	221
5236	ArtofIllusion	K-3D	221
5236	ArtofIllusion	MisfitModel3D	221
5236	ArtofIllusion	Stopmotion	221
5236	ArtofIllusion	White_dune	221
5236	ArtofIllusion	Wings3D	221
3949	aRts	emms	221
3949	aRts	jMax	221
3808	ascpu	Bubbling Load Monitor Applet	221
3808	ascpu	K Load Applet 	221
3808	ascpu	sysprof	221
5271	ASK	Black Hole	221
5271	ASK	bogofilter	221
5271	ASK	c-nocem	221
5271	ASK	Eremove	221
5271	ASK	GNU sauce	221
5271	ASK	Hldfilter	221
5271	ASK	Mail-bounce	221
5271	ASK	NoSpam	221
5271	ASK	Spam Assassin	221
5271	ASK	Spaminator	221
5271	ASK	Spastic	221
5271	ASK	Splonk	221
5271	ASK	sugerplum	221
5271	ASK	TMDA	221
5234	AsmEdit	AsmRef	221
3806	asmem	Atop 	221
3806	asmem	MemCheck Deluxe	221
3806	asmem	qdu	221
3806	asmem	xdiskusage	221
3806	asmem	XDU	221
5233	AsmRef	AsmEdit	221
3804	aspell	Flyspell.el	221
3804	aspell	ispell	221
3804	aspell	Pspell	221
3804	aspell	spell	221
3804	aspell	WBOSS	221
5270	ASPSeek	DataparkSearch	221
5270	ASPSeek	ht://Dig	221
5270	ASPSeek	mnoGoSearch	221
5270	ASPSeek	PhpDig	221
3803	asterisk-oh	ADM	221
3803	asterisk-oh	Asterisk	221
3803	asterisk-oh	Bayonne	221
3803	asterisk-oh	phpagi	221
3802	asteroids3D	Agendaroids	221
3802	asteroids3D	Vectoroids	221
5232	AstroCam	iCam2	221
3799	astyle	Indent	221
3798	at-spi	ATK	221
3798	at-spi	GAIL	221
3798	at-spi	gnome-mag	221
3798	at-spi	KDE Accessibility	221
3795	aterr	FUDforum	221
3794	atheism	AFR	221
3794	atheism	kChat	221
5269	ATK	at-spi	221
5269	ATK	gnome-mag	221
5269	ATK	gnome-speech	221
5269	ATK	orca	221
3793	atkins	Modutils	221
3792	atlas	MUNTL	221
3792	atlas	PARI/GP	221
3791	atlc	Alliance	221
3791	atlc	Electric VLSI Design System	221
3791	atlc	gEDA-gaf	221
3791	atlc	Oregano	221
3789	atop	asmem	221
3789	atop	gPS	221
3789	atop	LavaPS	221
3789	atop	Monit	221
3789	atop	PIKT	221
3789	atop	Procman	221
3789	atop	ps-watcher	221
3789	atop	sysprof	221
3789	atop	Sysstat	221
3789	atop	Time	221
3786	aub	Brag	221
5230	AuctionGallery	BidMonkey	221
5230	AuctionGallery	Bidwatcher	221
3782	audacity	Ambisuite	221
3778	aumix	Rexima	221
3771	autoconf	Automake	221
3771	autoconf	Buildtool	221
3771	autoconf	FireMake	221
3771	autoconf	Gcal	221
3771	autoconf	libtool	221
3771	autoconf	make	221
3771	autoconf	mfg	221
3771	autoconf	pkg-config	221
3771	autoconf	PMK	221
3771	autoconf	rpsl	221
3769	autodia	Dia	221
3769	autodia	dia2sql-stl	221
3769	autodia	DiaCanvas2	221
5223	Autodist	autopackage	221
5223	Autodist	GENDIST	221
5223	Autodist	Kickstart tools	221
5223	Autodist	Rookery	221
3768	autogen	autopackage	221
3768	autogen	Buildtool	221
3768	autogen	Guile	221
3768	autogen	libopts	221
3765	automake	Autoconf	221
3765	automake	Buildtool	221
3765	automake	CMake	221
3765	automake	Confix	221
3765	automake	FireMake	221
3765	automake	libtool	221
3765	automake	make	221
3765	automake	mfg	221
3765	automake	nixMake	221
3765	automake	pkg-config	221
3765	automake	rpsl	221
3765	automake	smake	221
3763	autopackage	Autodist	221
3763	autopackage	Autogen	221
3763	autopackage	ccbuild	221
3763	autopackage	CMake	221
3763	autopackage	Garnome	221
3763	autopackage	Phing	221
3763	autopackage	Rookery	221
3762	autopoweroff	Power Daemon	221
5228	AutoProfile	Festival Gaim	221
5228	AutoProfile	Gaim-e	221
5228	AutoProfile	Guifications	221
5228	AutoProfile	Ignorance	221
3760	autorun	CD-ROM Control	221
3760	autorun	cdrom	221
3760	autorun	Submount	221
5226	AutoScrapbook	BINS	221
5226	AutoScrapbook	Gallery	221
5226	AutoScrapbook	Gphoto2	221
5226	AutoScrapbook	Gphotocoll	221
5226	AutoScrapbook	indexpage.pl	221
5226	AutoScrapbook	Mig	221
5226	AutoScrapbook	My Photo Gallery	221
5226	AutoScrapbook	Pharch	221
5226	AutoScrapbook	Photo Organizer	221
5226	AutoScrapbook	PhotoGen	221
5226	AutoScrapbook	Photoshrink	221
5226	AutoScrapbook	PHPortfolio	221
5226	AutoScrapbook	PicBook	221
5221	Autossh	net-check	221
5221	Autossh	Reliable SSH Tunnel	221
5221	Autossh	Spinner	221
3758	autotrace	ImageMagick	221
3758	autotrace	Inkscape	221
3758	autotrace	potrace	221
5225	AutoUpdate	GnoRPM	221
5225	AutoUpdate	newrpms	221
3757	autovaca	aBridge	221
3757	autovaca	Euchre	221
3757	autovaca	Flowersol	221
3757	autovaca	Kpoker	221
5829	avbin	Pyglet	221
3755	avdbtools	Flight Gear	221
3755	avdbtools	fplan	221
3755	avdbtools	KFLog	221
3754	averist	cgipaf	221
3754	averist	Drall	221
3754	averist	WebAuth	221
3753	avidemux	Kino	221
3752	aview	Aalib	221
5267	AVInfo	getID3	221
5267	AVInfo	libextractor	221
3749	avsomat	gcx	221
5219	AweMUD	The Mana World	221
5266	AWF	Drupal	221
5266	AWF	Forum	221
5266	AWF	GLUE	221
5266	AWF	Nuxeo CPS	221
5266	AWF	PHP GroupWare	221
5266	AWF	phpcollab	221
5266	AWF	Plone	221
5266	AWF	TWiki	221
3748	awhttpd	Fnord httpd	221
3748	awhttpd	lighttpd	221
3748	awhttpd	rws	221
3748	awhttpd	Thy	221
3748	awhttpd	yhttpd	221
5265	AWOL	Absence	221
5264	AWStats	BlueDot	221
5264	AWStats	phpsitestats	221
5264	AWStats	Relax log analyzer	221
5264	AWStats	Visitors	221
5264	AWStats	Webalizer	221
5218	AxPoint	MagicPoint	221
5218	AxPoint	MinDIA	221
5218	AxPoint	PLies	221
5218	AxPoint	Slides.sh	221
3746	ayam	Aqsis	221
3746	ayam	DrQueue	221
3746	ayam	K-3D	221
3746	ayam	Moonlight3D	221
3746	ayam	pixie	221
3746	ayam	Wings3D	221
3745	ayttm	Gnu Gadu 2	221
3745	ayttm	Kopete 	221
3744	b	bk_edit	221
3744	b	Bookmark4U	221
3744	b	Bookmarker	221
3744	b	EasyBookmarks	221
3744	b	Garlic	221
3744	b	Gnobog	221
3744	b	online-bookmarks	221
3744	b	SiteBar	221
5217	B-Forms	formgenie	221
5217	B-Forms	KPreg	221
5217	B-Forms	Mailer	221
5217	B-Forms	Mod_Survey	221
5217	B-Forms	PHPeasy-form	221
5217	B-Forms	phpFormGenerator	221
5217	B-Forms	SimpleForm	221
5217	B-Forms	spin_feedback	221
3743	b2evolution	LiveJournal	221
3743	b2evolution	NewsBruiser	221
3743	b2evolution	PyQLogger	221
3743	b2evolution	Sadlittlewebjournal 	221
5196	Baby	Chess 	221
5196	Baby	Eboard	221
5196	Baby	Ghronos	221
5196	Baby	Jacquemate	221
5196	Baby	Scid	221
5196	Baby	Sjeng	221
5196	Baby	Xboard	221
3740	backup2l	bacula	221
3740	backup2l	Duplicity	221
3737	bacula	Amanda	221
3737	bacula	Backup2l	221
3737	bacula	dobackup.pl	221
3737	bacula	Flexbackup	221
3737	bacula	Hdup	221
3737	bacula	iBackup	221
3737	bacula	PHP Backup Maker	221
3733	balance	HAproxy	221
3733	balance	Pen	221
5650	ballandpaddle	Guile	221
3731	balsa	Elm	221
3731	balsa	Fetchmail	221
3731	balsa	Ishmail	221
3731	balsa	mutt 	221
3731	balsa	Pmc	221
3731	balsa	Popper	221
3731	balsa	Spruce	221
3731	balsa	Thunderbird	221
5192	BananaPos	AllCommerce	221
5192	BananaPos	closedShop	221
5192	BananaPos	Interchange	221
5191	BannerFilter	BannerKiller	221
5191	BannerFilter	Internet Junkbuster	221
3727	bannerkiller	BannerFilter	221
3727	bannerkiller	CTC	221
3727	bannerkiller	Internet Junkbuster	221
3727	bannerkiller	SwiftSurf	221
3722	barcode	BarcodeWriter	221
3722	barcode	Bookland.py	221
3722	barcode	kbarcode	221
5190	BarcodeWriter	Barcode	221
5190	BarcodeWriter	Bookland.py	221
5190	BarcodeWriter	kbarcode	221
3720	basE91	UUDeview	221
3719	bash	Bash.Diff	221
3719	bash	fish	221
3719	bash	lsh	221
3719	bash	pdksh	221
3719	bash	Tcsh	221
3719	bash	vshnu	221
3719	bash	Zsh	221
5189	Bash.Diff	Bash	221
5189	Bash.Diff	BASH Debugger	221
3717	bashburn	Arson	221
3717	bashburn	Phaser	221
3716	bashdb	Bash.Diff	221
5188	Basilic	Pybliographer	221
5188	Basilic	refbase	221
5188	Basilic	RefDB	221
5188	Basilic	WIKINDX	221
3713	batemail	getattach.pl.txt	221
3713	batemail	Renattach	221
3710	bayonne	ANT	221
3710	bayonne	Asterisk	221
3710	bayonne	Asterisk-oh323	221
3710	bayonne	ccrtp	221
3710	bayonne	gnucomm	221
3710	bayonne	oMGCP	221
3710	bayonne	SIP Witch	221
3710	bayonne	Speak Freely	221
3710	bayonne	Yate	221
5215	BBBike	KLIMB	221
5214	BBclone	phpMyVisites	221
5214	BBclone	PowerPhlogger	221
5214	BBclone	The Insidious Big Brother Database	221
5213	BBrun	WMTimer	221
3708	bbs100	Citadel	221
3708	bbs100	miniBB	221
3708	bbs100	phpBB	221
3708	bbs100	PunBB	221
3708	bbs100	RBBS	221
3708	bbs100	Yet Another PHP Bulletin Board (YapBB)	221
3707	bc	Dr genius	221
3707	bc	Genius	221
3707	bc	Octave	221
3707	bc	Yorick	221
5439	bcaml	Objective Caml	221
5212	BClock	Abclock	221
5212	BClock	AfterStep Clock Applet	221
5212	BClock	Sunclock	221
5212	BClock	WMTimer	221
3704	beacon	aroundme	221
3703	beancounter	Geniustrader	221
3703	beancounter	smtm	221
5186	BeeCrypt	Botan	221
5186	BeeCrypt	Libgcrypt	221
5186	BeeCrypt	Nettle	221
5186	BeeCrypt	OpenCL	221
