#  file: fsfProjectInterfaces2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.interface, pi.datasource_id 
#  FROM fsf_project_interfaces pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.interface
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	interface	datasource_id
5222	Autofiler	Command Line	221
5810	autofw	Command Line	221
3768	autogen	Command Line	221
3767	autoindex	Web	221
5828	autojump	Command Line	221
3766	autolame	Command Line	221
3765	automake	Command Line	221
3764	autonicedaemon	Daemon	221
3763	autopackage	Command Line	221
3763	autopackage	X Window System	221
3762	autopoweroff	Command Line	221
5228	AutoProfile	Web	221
3761	autoproject	Command Line	221
3760	autorun	Daemon	221
5227	AutoScan	X Window System	221
5226	AutoScrapbook	Command Line	221
5226	AutoScrapbook	Web	221
5226	AutoScrapbook	X Window System	221
5221	Autossh	Daemon	221
3759	autotable	Web	221
5220	Autothrottle	Daemon	221
3758	autotrace	Command Line	221
3758	autotrace	Library	221
5225	AutoUpdate	Command Line	221
3757	autovaca	Web	221
3756	avant_window_navigator	X Window System	221
5829	avbin	Library	221
3755	avdbtools	Command Line	221
3754	averist	Web	221
5268	AVFS	Daemon	221
3753	avidemux	X Window System	221
3752	aview	X Window System	221
5267	AVInfo	Command Line	221
3750	avl	Library	221
3749	avsomat	Command Line	221
5219	AweMUD	Daemon	221
5266	AWF	Web	221
3748	awhttpd	Command Line	221
5265	AWOL	Web	221
5264	AWStats	Command Line	221
5264	AWStats	Web	221
3747	axiom	Command Line	221
6145	axkit	Command Line	221
5218	AxPoint	X Window System	221
3746	ayam	X Window System	221
3745	ayttm	X Window System	221
3744	b	Web	221
5217	B-Forms	Library	221
5540	b2epms	Web	221
3743	b2evolution	Web	221
3742	b4step	X Window System	221
5824	babel	Library	221
5196	Baby	X Window System	221
3741	babylon	Web	221
3741	babylon	X Window System	221
5195	Backroute	Command Line	221
3740	backup2l	Command Line	221
5193	Backuper	Command Line	221
6434	backupninja	Command Line	221
3738	backuppc	Daemon	221
3738	backuppc	Web	221
5194	BackupShell	Command Line	221
3739	backup_manager	Command Line	221
3737	bacula	Command Line	221
3737	bacula	X Window System	221
5541	badharvest	Web	221
3736	bagelview	X Window System	221
3735	bakasub	X Window System	221
3734	bakery	X Window System	221
3733	balance	Command Line	221
3732	balazarbrothers	X Window System	221
5650	ballandpaddle	X Window System	221
