#  file: owProjectInfo2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, url, date_registered, proj_long_name, proj_id_num, 
#  activity_percentile, dev_count, date_collected, datasource_id
#  FROM ow_projects
#  WHERE datasource_id=220
#  ORDER BY proj_unixname;
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	url	date_registered	proj_long_name	proj_id_num	dev_count	date_collected	datasource_id
rubbos	http://forge.objectweb.org/projects/rubbos	2004-05-18 09:57:00	RUBBoS	129	3	NULL	220
rubis	http://forge.objectweb.org/projects/rubis	2002-12-04 12:20:00	RUBiS	44	3	NULL	220
s4allsdk	http://forge.objectweb.org/projects/s4allsdk	2005-10-17 18:36:00	S4All SDK	225	3	NULL	220
salome-tmf	http://forge.objectweb.org/projects/salome-tmf	2005-05-23 11:29:00	SaloméTMF	194	12	NULL	220
scarbo	http://forge.objectweb.org/projects/scarbo	2009-01-08 15:14:00	Scarbo	342	6	NULL	220
shark	http://forge.objectweb.org/projects/shark	2003-07-18 18:56:00	Enhydra Shark	74	1	NULL	220
siteadmin	http://forge.objectweb.org/projects/siteadmin	2002-03-29 12:47:00	Opal	1	27	NULL	220
snapper	http://forge.objectweb.org/projects/snapper	2005-04-25 11:25:00	Enhydra Snapper	188	1	NULL	220
soda	http://forge.objectweb.org/projects/soda	2006-10-18 18:53:00	Service-Oriented Device Architecture	277	1	NULL	220
sofa	http://forge.objectweb.org/projects/sofa	2003-02-10 12:09:00	SOFA	54	24	NULL	220
spagic	http://forge.objectweb.org/projects/spagic	2007-03-30 17:40:00	Spagic	298	11	NULL	220
spago	http://forge.objectweb.org/projects/spago	2005-05-23 11:58:00	Spago	195	7	NULL	220
spago4q	http://forge.objectweb.org/projects/spago4q	2007-04-27 19:07:00	Spago4Q (SpagoBI for Quality)	301	5	NULL	220
spagobi	http://forge.objectweb.org/projects/spagobi	2005-06-17 19:19:00	SpagoBI	204	13	NULL	220
speedo	http://forge.objectweb.org/projects/speedo	2002-09-06 11:01:00	Speedo	33	8	NULL	220
starwebservice	http://forge.objectweb.org/projects/starwebservice	2006-03-27 09:20:00	StarWebService	249	1	NULL	220
stock-online	http://forge.objectweb.org/projects/stock-online	2003-03-31 07:07:00	Stock-Online	60	1	NULL	220
surf	http://forge.objectweb.org/projects/surf	2004-06-24 16:10:00	SURF	131	4	NULL	220
telosys	http://forge.objectweb.org/projects/telosys	2005-05-27 12:00:00	Telosys	196	5	NULL	220
tess	http://forge.objectweb.org/projects/tess	2009-11-02 16:17:00	TESS	362	1	NULL	220
think	http://forge.objectweb.org/projects/think	2002-08-08 12:17:00	THINK	27	57	NULL	220
tox	http://forge.objectweb.org/projects/tox	2003-10-30 01:08:00	tomcat + ojb + xmlc	88	1	NULL	220
ubistar	http://forge.objectweb.org/projects/ubistar	2009-03-10 14:32:00	Ubistar	346	1	NULL	220
wcms	http://forge.objectweb.org/projects/wcms	2003-11-06 06:31:00	Wireless Content Management	89	1	NULL	220
wildcat	http://forge.objectweb.org/projects/wildcat	2006-07-12 09:24:00	WildCAT	263	6	NULL	220
winqemu	http://forge.objectweb.org/projects/winqemu	2009-09-14 09:46:00	WinQEMU：The Windows Port of QEMU	360	1	NULL	220
wsunit	http://forge.objectweb.org/projects/wsunit	2004-11-01 19:27:00	WSUnit - XML over HTTP Reflector	161	1	NULL	220
xmlc	http://forge.objectweb.org/projects/xmlc	2003-01-09 10:49:00	Enhydra XMLC	49	7	NULL	220
xplus	http://forge.objectweb.org/projects/xplus	2007-06-06 04:43:00	xPlus	305	3	NULL	220
xquare	http://forge.objectweb.org/projects/xquare	2003-10-01 08:20:00	XQuare	78	3	NULL	220
xservice	http://forge.objectweb.org/projects/xservice	2006-04-06 09:36:00	XService Suite	252	16	NULL	220
xwiki	http://forge.objectweb.org/projects/xwiki	2005-01-19 17:41:00	XWiki	170	11	NULL	220
zeus	http://forge.objectweb.org/projects/zeus	2003-04-10 21:52:00	Enhydra Zeus	62	3	NULL	220
