#  file: sfRawTracker2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes tracker data for each project. This info 
#  is summed based on the daily tracker data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT  proj_unixname, sum(tracker_opened), sum(tracker_closed)
#  FROM project_statistics_60 
#  WHERE datasource_id=172  
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  tracker opened: the sum of all opened tracker items for this 60-day period 
#  tracker closed: the sum of all closed tracker items for this 60-day period
proj_unixname	sum(tracker_opened)	sum(tracker_closed)
acemprojects	NULL	NULL
acemu	NULL	NULL
acemulator	NULL	NULL
acentuaruby	NULL	NULL
aceoperator	NULL	NULL
aceos	NULL	NULL
aceracpigui	NULL	NULL
acerhk	NULL	NULL
acerhkgui	NULL	NULL
aceromath	NULL	NULL
acertemplogger	NULL	NULL
acervonline	NULL	NULL
aces	NULL	NULL
aces-high-code	NULL	NULL
acesdownz	NULL	NULL
aceserv	NULL	NULL
aceserver	NULL	NULL
aceslayer	NULL	NULL
acesstvdigital	NULL	NULL
acesup	NULL	NULL
acesupmobile	NULL	NULL
aceswitch	NULL	NULL
acetaociao	NULL	NULL
acethreatmeter	NULL	NULL
acetone	NULL	NULL
acetoneisoi18n	NULL	NULL
acetoolkit	NULL	NULL
acetree	NULL	NULL
aceunit	NULL	NULL
aceyget	NULL	NULL
acf	NULL	NULL
acforbittorrent	NULL	NULL
acfproj	NULL	NULL
acfreeproxy	NULL	NULL
acftp	NULL	NULL
acfused	NULL	NULL
acg	NULL	NULL
acgc	NULL	NULL
acgs	NULL	NULL
acgsuing	NULL	NULL
acgtracker	NULL	NULL
acgvision	NULL	NULL
ach	NULL	NULL
achaeacure	NULL	NULL
achaeasys	NULL	NULL
achaeasystem	NULL	NULL
achanis	NULL	NULL
achape	NULL	NULL
acharacter	NULL	NULL
achat	NULL	NULL
achecker	NULL	NULL
achelous	NULL	NULL
achernar	NULL	NULL
acheron-l	NULL	NULL
achievepro	NULL	NULL
achievo-modules	NULL	NULL
achilles	NULL	NULL
achlsg	NULL	NULL
achtung-kurve	NULL	NULL
achviewer	NULL	NULL
achwrapper	NULL	NULL
acid	NULL	NULL
acid3lib	NULL	NULL
acidblood	NULL	NULL
acidbox	NULL	NULL
acidcp	NULL	NULL
acidcult	NULL	NULL
acide	NULL	NULL
acidforum	NULL	NULL
acidgames	NULL	NULL
acidic32	NULL	NULL
acidim	NULL	NULL
acidircd	NULL	NULL
acidlab	NULL	NULL
acidmon	NULL	NULL
acidmud	NULL	NULL
acidrip	NULL	NULL
acidsecrets	NULL	NULL
acidview6-win32	NULL	NULL
acidxoops	NULL	NULL
aciksb	NULL	NULL
acinerella	NULL	NULL
acip	NULL	NULL
aciqqezet	NULL	NULL
acirc	NULL	NULL
acity	NULL	NULL
ack	NULL	NULL
ackaboo	NULL	NULL
ackeralbums	NULL	NULL
ackertodo	NULL	NULL
ackertray	NULL	NULL
ackord	NULL	NULL
ackpoller	NULL	NULL
ackronic	NULL	NULL
ackterm	NULL	NULL
acl	NULL	NULL
acl-browser	NULL	NULL
acl-jaws	NULL	NULL
acl-tftp	NULL	NULL
acl-trend	NULL	NULL
aclanalyser	NULL	NULL
aclassutil	NULL	NULL
aclazarus	NULL	NULL
aclbit	NULL	NULL
aclean	NULL	NULL
aclibexif	NULL	NULL
aclibico	NULL	NULL
aclip	NULL	NULL
aclocator	NULL	NULL
aclog	NULL	NULL
acloneboard	NULL	NULL
aclsimulator	NULL	NULL
aclutil	NULL	NULL
acm	NULL	NULL
acm-system	NULL	NULL
acm-uc	NULL	NULL
acm1pt	NULL	NULL
acm2vclub	NULL	NULL
acmas	NULL	NULL
acmco-kb	NULL	NULL
acmcontester	NULL	NULL
acmdoc	NULL	NULL
acme	NULL	NULL
acme-sac	NULL	NULL
acme3d	NULL	NULL
acmearchsim	NULL	NULL
acmedupl	NULL	NULL
acmehardwarelig	NULL	NULL
acmemail	NULL	NULL
acmeschool	NULL	NULL
acmgen	NULL	NULL
acmgr	NULL	NULL
acmmp3encoder	NULL	NULL
acmnes	NULL	NULL
acmod	NULL	NULL
acms	NULL	NULL
acms-liveupdate	NULL	NULL
acmsreporter	NULL	NULL
acmtoolsforvs	NULL	NULL
acmup	NULL	NULL
acmus	NULL	NULL
acmwebsite	NULL	NULL
acmx	NULL	NULL
acnexus	NULL	NULL
acnik	NULL	NULL
aco	NULL	NULL
acocc	NULL	NULL
acode	NULL	NULL
acodegen	NULL	NULL
acolytemtg	NULL	NULL
acom-c	NULL	NULL
acoma	NULL	NULL
acommando	NULL	NULL
acompanhantes	NULL	NULL
acompiler	NULL	NULL
aconcagua	NULL	NULL
aconcorde	NULL	NULL
aconiacpassword	NULL	NULL
aconix	NULL	NULL
acop-pc	NULL	NULL
acorairc	NULL	NULL
acorapos	NULL	NULL
acorn	NULL	NULL
acorncd	NULL	NULL
acorndb	NULL	NULL
acorndrop	NULL	NULL
acornhunt	NULL	NULL
acornicq	NULL	NULL
acornutils	NULL	NULL
acos	NULL	NULL
acosi	NULL	NULL
acostplanstanic	NULL	NULL
acountant	NULL	NULL
acountthing	NULL	NULL
acoustic-memory	NULL	NULL
acousticspace	NULL	NULL
acoustmeas	NULL	NULL
acousto	NULL	NULL
acovea	NULL	NULL
acp	NULL	NULL
acp-2	NULL	NULL
