#  file: fsfProjectInfo2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT proj_num, proj_unixname, date_collected, datasource_id, url, real_url, desc_short, desc_long, user_level 
#  FROM fsf_projects 
#  WHERE datasource_id=221 
#  ORDER BY proj_num
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	date_collected	datasource_id	url	real_url	desc_short	desc_long	user_level
51	yaccviso	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yaccviso	http://lo-res.org/~aaron/yaccviso	Visualization tool for bison and yacc grammars	Yaccviso visualizes yacc and bison grammars. It will generate a .dot or .vcg file that you can play around with in graphviz (from AT&T research labs fame) or VCG. The graphics above shows a very simple version of the very same yacc grammar which was used to write Yaccviso.\n	
52	yabasic	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yabasic	http://www.yabasic.de/	Version of  &#39;basic&#39; that includes only the commonest, simplest elements	Yabasic implements the most common and simple\nelements of the basic language. It comes with goto/gosub, with various\nloops, with user defined subroutines and libraries. Yabasic does\nmonochrome line graphics and printing. Yabasic runs under Unix and\nWindows, it is small (around 200KB) and free.\n	
53	yChat	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yChat	http://www.yChat.org	Chat server daemon	'yChat' is an XML-configurable, HTML\ntemplate-driven, fast, very portable, multi-platform, multi-threaded\nWeb-based chat server daemon which uses multiplexing sockets and\nsupports ncurses and text-based administration interfaces. It supports\nMySQL databases and secure SSL connections using OpenSSL, and is\ncompatible with almost all browsers that support frames and\nJavascript.\n	
54	xzgv	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xzgv	http://rus.members.beeb.net/xzgv.html	Picture viewer for the X Window System	'xzgv' is a GTK+/Imlib-based picture viewer for X,\nwhich supports most popular image formats; thumbnails used are\ncompatible with xv, zgv, and the Gimp. It differs from other picture\nviewers for X in that it uses one window for both the file selector\nand viewer, allows both scrolling and fit-to-window methods of viewing\nlarge pictures, and doesn't mangle the picture's aspect ratio unless\nyou tell it to. \n\n<P>It also provides extensive keyboard support; if you prefer using\nthe keyboard, this is probably the best viewer for you. However, you\ncan also use the mouse: you can click on a picture to view it, drag\nthe picture around to scroll (or use the scrollbars), it has menus,\netc.\n	
55	xyz2lla	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xyz2lla	http://www.nicolargo.com/dev/xyz2lla/	A program that converts XYZ to LLA coordinates.	XYZ2LLA is a little C program to convert \nearth-centred earth-fixed (ECEF) Cartesien coordinates to latitude, \nlongitude, and altitude (LLA in degree).\n	
56	xxdiff	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xxdiff	http://xxdiff.sourceforge.net/	Graphical comparator and merge tool	'xxdiff' is a graphical browser for viewing the\ndifferences between two or three files, or between two directories,\nand can be used to produce a merged version.\n	
57	xwrits	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xwrits	http://www.lcdf.org/xwrits/	Reminds you to take wrist breaks	Xwrits reminds you to take wrist breaks, which\nwill hopefully help you prevent repetitive stress injury. It pops up\nan X window when you should rest; you click on that window, then take\na break.\n\n<P>Xwrits's graphics are brightly colored pictures of a wrist and the\nattached hand. The wrist clenches and stretches "as if in pain" when\nyou shohould rest, slumps relaxed during the break, and points\nvaliantly forward when the break is over. It is trapped behind bars\nwhile the keyboard is locked.\n	
58	xvkdb	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xvkdb	http://homepage3.nifty.com/tsato/xvkbd/	Virtual keyboard program	'xvkbd' is a virtual graphica) keyboard program\nfor X which lets users enter characters onto other clients software by\nclicking a keyboard displayed on the screen. It can also send\ncharacters specified by the command line option to other client.\n	
59	xvidcap	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xvidcap	http://www.sourceforge.net/projects/xvidcap	Screen capture aplication	'xvidcap' is a screen capture application enabling\nyou to capture videos from your XFree86 desktop for illustration or\ndocumentation purposes. \n	
60	xtux	2010-05-03 16:09:19	221	http://directory.fsf.org/project/xtux	http://xtux.sourceforge.net/	Network shoot-&#39;em-up game featuring free software mascots	In XTux, you can play as Tux the Linux penguin, the BSD daemon, or some other characters (GNU, Vi, KDE dragon, etc.) and either fight each other over the network or join forces to take on Microsoft, killing MS Henchmen, Bill the Borg, Clippy the Office assistant paperclip, and others. It features 3D-rendered graphics, a wide variety of maps (including a Linux desktop, SLASHDOT!, the street, an office) and a cheesy plot.	
