#  file: fmRawProjectAuthors2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=218
#  AND fpa.datasource_id=218
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 218 is the May 2010 run on freshmeat.
project_id	projectname_short	author_name	author_role
936	bugzilla\n    	Max Kanat-Alexander	Release Manager
937	build\n    	god_of_pain	Owner
940	builderxcessoryproforlinux\n    	Mark Hatch	Owner
941	buildkernel\n    	William Stearns	Owner
942	bulkmailer\n    	Keith Moore	Owner
944	bullucks\n    	Folkert van Heusden	Owner
951	bbb\n    	W. Michael Petullo	Owner
953	busybox\n    	Erik Andersen	Owner
953	busybox\n    	Bernhard Reutner-Fischer	Owner
954	busytime\n    	VisualVersion LLC	Owner
955	butterfly\n    	Digital Solutions	Owner
959	buzzerelectronicnotebook\n    	John Lindal	Owner
962	bvi\n    	Gerhard Buergmann	Owner
963	bw-whois\n    	Bill Weinman	Owner
964	bw-admin\n    	Zarjazz	Owner
968	bxxik\n    	Mark Hatch	Owner
974	bzflag\n    	Tim Riker	Owner
978	cserverpages\n    	Teodoro	Owner
981	libcwd\n    	Carlo Wood	Owner
982	moncls_h\n    	Don Anderson	Owner
983	c2hs\n    	Chilli	Owner
985	c-kermit\n    	Frank da Cruz	Owner
986	c-xsc2_0\n    	C-XSC	Owner
993	cabextract\n    	kyz	Owner
996	cacheabilityengine\n    	Mark Nottingham	Owner
998	cactus\n    	Tom Goodale	Owner
999	cadaver\n    	Joe Orton	Owner
1000	cadaverserver\n    	erikyyy	Owner
1004	cafire\n    	Robert Cimrman	Owner
1007	cajun\n    	Cajun	Owner
1008	calamar\n    	Open iT GmbH	Owner
1009	calamaris\n    	Cord Beermann	Owner
1010	calc\n    	chongo	Owner
1011	calcium\n    	Fred	Owner
1015	calendarclass\n    	Manuel Lemos	Owner
1018	call2sym\n    	Phil Hollenback	Owner
1022	calltree\n    	Jörg Schilling	Owner
1024	camexpert\n    	Andrew Mustun	Owner
1027	came\n    	Tom	Owner
1029	camserv\n    	Jon Travis	Owner
1030	camstream\n    	Nemosoft Unv.	Owner
1037	capture\n    	Franck Bonin	Owner
1038	carworld\n    	bobsap	Owner
1041	cardinfo\n    	timecop	Owner
1042	cards_py\n    	Adam Gurno	Owner
1043	cardwords\n    	Tobias Peters	Owner
1047	cascade\n    	Mark Stosberg	Owner
1056	catdvi\n    	Antti-Juhani Kaijanaho	Owner
1056	catdvi\n    	Björn Brill	Current maintainer
1058	cw2dmk\n    	Tim Mann	Owner
1059	caudium\n    	David Hedbor	Owner
1059	caudium\n    	Xavier Beaudouin	Project Lead
1059	caudium\n    	Bill Welliver	Project Lead
1062	cawfeecgisdk\n    	Ben Wilder	Owner
1063	cbb\n    	Brian Koontz	Owner
1068	cbq_init\n    	Paul Golubev	Owner
1068	cbq_init\n    	Lubomir Bulej	Admin
1069	cbrowser\n    	Chris Felaco	Owner
1071	ccaudio2\n    	David Sugar	Owner
1085	ccp\n    	Andrey Grozin	Owner
1088	ccscript\n    	David Sugar	Owner
1098	cd-console\n    	Osku Salerma	Owner
1101	cdrchive2\n    	Mick Grant	Owner
1102	cd-romcontrolforlinux\n    	Paul Millar	Owner
1103	cdmt\n    	Alpha	Owner
1108	cdbackup\n    	Stefan Huelswitt	Owner
1112	cdctl\n    	thalakan	Owner
1115	cddb\n    	Armin Obersteiner	Owner
1118	cddbd_sh\n    	Robert Sander	Owner
1122	cdfs\n    	Michiel Ronsse	Owner
1135	cdplayer_app\n    	Andreas	Owner
1138	cdrdao\n    	poolshark	Owner
1139	cdrecord\n    	Jörg Schilling	Owner
1145	cdsa2\n    	David Bowler	Owner
1149	cdxa\n    	Long Island Man (Jon Atkins)	Owner
1152	celebrat\n    	Anthony Baire	owner
1152	celebrat\n    	Daniel Bungert	Owner
1155	centericq\n    	Konstantin Klyagin	Owner
1156	cdscsid\n    	Kees Cook	Owner
1157	cervisia\n    	Christian Loose	Owner
1158	cexcept\n    	Adam M. Costello	Owner
1161	cfgtie\n    	Randy Maas	Owner
1164	cftp\n    	Dillo	Owner
1164	cftp\n    	NiH	admin
1165	cfv\n    	Matthew Mueller	Owner
1167	cgames\n    	Brian Raiter	Owner
1175	cgi-util\n    	Bill Kendrick, New Breed Software	Owner
1179	cgiapplication\n    	Jesse Erlbaum	Owner
