#  file: fmTroveDefs2010-May.txt
#  package: fmProjectInfo
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT *
#  FROM fm_trove_defs
#  WHERE datasource_id=81
#  ORDER BY trove_id
#
#  datasource_id = 81 is the latest trove defs that we have
trove_id	root	parent	name	datasource_id
950	18	930	Topic :: Desktop Environment :: Theme :: Misc	81
951	18	930	Topic :: Desktop Environment :: Theme :: Pixmap	81
952	18	930	Topic :: Desktop Environment :: Theme :: Operating Systems	81
953	18	930	Topic :: Desktop Environment :: Theme :: Plain	81
954	18	930	Topic :: Desktop Environment :: Theme :: Engine	81
955	18	809	Topic :: Software Development :: Libraries :: Ruby Modules	81
956	18	57	Topic :: Desktop Environment :: K Desktop Environment (KDE) :: Themes KDE 2.x	81
957	18	57	Topic :: Desktop Environment :: K Desktop Environment (KDE) :: Themes KDE 3.x	81
958	18	58	Topic :: Desktop Environment :: Gnome :: GTK 2.x Themes	81
959	18	59	Topic :: Desktop Environment :: Window Managers :: Enlightenment :: Themes DR15	81
960	18	926	Topic :: Desktop Environment :: Window Managers :: Sawfish :: Themes 0.30	81
961	18	56	Topic :: Desktop Environment :: Window Managers :: Fluxbox	81
962	18	961	Topic :: Desktop Environment :: Window Managers :: Fluxbox :: Themes	81
963	18	56	Topic :: Desktop Environment :: Window Managers :: XFCE	81
964	18	963	Topic :: Desktop Environment :: Window Managers :: XFCE :: Themes	81
965	18	55	Topic :: Desktop Environment :: Application Themes	81
966	18	965	Topic :: Desktop Environment :: Application Themes :: XMMS	81
967	18	965	Topic :: Desktop Environment :: Application Themes :: Galeon	81
968	18	965	Topic :: Desktop Environment :: Application Themes :: Mozilla	81
969	18	965	Topic :: Desktop Environment :: Application Themes :: GKrellM	81
970	18	55	Topic :: Desktop Environment :: PicoGUI	81
971	18	970	Topic :: Desktop Environment :: PicoGUI :: Applications	81
972	18	970	Topic :: Desktop Environment :: PicoGUI :: Themes	81
973	18	55	Topic :: Desktop Environment :: Theme Resources	81
974	18	973	Topic :: Desktop Environment :: Theme Resources :: Backgrounds	81
975	18	973	Topic :: Desktop Environment :: Theme Resources :: Fonts	81
976	18	973	Topic :: Desktop Environment :: Theme Resources :: Icons	81
977	18	965	Topic :: Desktop Environment :: Application Themes :: Nautilus	81
978	18	59	Topic :: Desktop Environment :: Window Managers :: Enlightenment :: Themes DR17	81
979	18	965	Topic :: Desktop Environment :: Application Themes :: Shells	81
980	18	992	Topic :: Desktop Environment :: Application Themes :: Login Managers :: XDM	81
982	18	973	Topic :: Desktop Environment :: Theme Resources :: Cursors	81
983	160	160	Programming Language :: OCaml	81
984	13	14	License :: OSI Approved :: Guile license	81
985	160	160	Programming Language :: Pike	81
986	18	56	Topic :: Desktop Environment :: Window Managers :: MetaCity	81
