#  file: fmRawProjectLicense2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, license
#  FROM fm_projects
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	license
513	automake\n    	GPL\n    
515	apgd\n    	BSD Original\n    
516	autoxdr\n    	BSD Original\n    
518	asa\n    	\n    
520	autoopts\n    	BSD Original\n    
527	autorip\n    	GPL\n    
528	autorpm\n    	MIT/X\n    
529	autorun\n    	GPL\n    
530	autosig\n    	GPL\n    
532	autostatus\n    	BSD Original\n    
533	autotrace\n    	GPL\n    
534	autotunnel\n    	GPL\n    
535	autoupdate\n    	GPL\n    
536	autozen\n    	GPL\n    
538	afinger\n    	GPL\n    
540	avacl\n    	BSD Original\n    
541	avalon\n    	Apache\n    
542	avengersnewssystem\n    	BSD Original\n    
544	avfs\n    	GPL\n    
545	avi-xmms\n    	LGPL\n    
546	x2divx\n    	GPL\n    
547	avifile\n    	LGPL\n    
548	avi2mpegpatch\n    	GPL\n    
549	avl\n    	GPL\n    
550	avlmap\n    	LGPL\n    
552	avrmon-stk200\n    	GPL\n    
553	avs\n    	Other\n    
554	avtv\n    	GPL\n    
555	awag\n    	GPL\n    
557	awe32controlpanel\n    	GPL\n    
558	awemud\n    	BSD Revised\n    
560	awka\n    	GPL\n    
562	awstats\n    	GPL\n    
563	ax25-apps\n    	GPL\n    
564	ax25-tools\n    	GPL\n    
566	axkit\n    	Apache\n    
568	axyftp\n    	Freeware\n    
569	a_dbc\n    	GPL\n    
570	b-chat\n    	GPL\n    
571	b_\n    	GPL\n    
573	babelj\n    	LGPL\n    
575	babylonchat\n    	GPL\n    
576	babytrans\n    	GPL\n    
577	back-end\n    	GPL\n    
579	kfibs\n    	GPL\n    
584	backupedgeforlinux\n    	Other\n    
586	backupsd\n    	BSD Original\n    
587	backupsw\n    	Shareware\n    
589	badge\n    	GPL\n    
590	bag\n    	GPL\n    
593	bahamut\n    	GPL\n    
598	bakery\n    	LGPL\n    
599	balance\n    	GPL\n    
600	balmail\n    	GPL\n    
601	balsa\n    	GPL\n    
603	banal\n    	BSD Original\n    
610	bannerkiller\n    	GPL\n    
613	barrendero\n    	GPL\n    
614	bartelsautoengineer\n    	Other\n    
616	base64\n    	Public Domain\n    
618	bashish\n    	GPL\n    
620	baslinux\n    	\n    
622	basiliskii\n    	GPL\n    
623	basilix\n    	GPL\n    
625	bastilleunix\n    	GPL\n    
626	batallanaval\n    	GPL\n    
628	batik\n    	Apache\n    
629	droidbattles\n    	GPL\n    
631	battstatapplet\n    	GPL\n    
632	baudline\n    	\n    
634	bawt\n    	Public Domain\n    
635	bayonne\n    	GPL\n    
636	bazaar\n    	GPL\n    
638	bbbs\n    	Shareware\n    
639	bbclone\n    	GPL\n    
640	bbdb\n    	GPL\n    
642	bbjd\n    	GPL\n    
644	bbkeys\n    	GPL\n    
649	bbs100\n    	GPL\n    
655	bc\n    	GPL\n    
657	bchunk\n    	GPL\n    
658	bclf\n    	LGPL\n    
659	bcnu\n    	Clarified Artistic\n    
661	bcwipe\n    	\n    
662	bday\n    	GPL\n    
664	bdist\n    	\n    
667	beam-back\n    	GPL\n    
670	beancounter\n    	GPL\n    
671	beastbse\n    	LGPL\n    
672	beatmonkey\n    	GPL\n    
674	beaver\n    	GPL\n    
677	bed\n    	GPL\n    
678	beecrypt\n    	LGPL\n    
681	beep\n    	GPL\n    
682	beepage\n    	BSD Revised\n    
686	behemotgraphicseditor\n    	Freeware\n    
687	belgian-howto\n    	FDL\n    
688	belt\n    	BSD Original\n    
689	benback\n    	GPL\n    
691	beonex-comm\n    	MPL\n    
694	berkeleydb\n    	\n    
697	fresco\n    	LGPL\n    
699	bestcrypt\n    	\n    
700	bet\n    	GPL\n    
701	betaftpd\n    	GPL\n    
704	bew\n    	Freeware\n    
707	bfbtester-bruteforcebinarytester\n    	GPL\n    
708	buffer\n    	GPL\n    
711	bfsfilesystemforlinux\n    	GPL\n    
712	bftpd\n    	GPL\n    
713	bgcheck\n    	\n    
715	biabam\n    	GPL\n    
716	bib2html\n    	GPL\n    
717	bibelot\n    	GPL\n    
719	bibletime\n    	GPL\n    
721	bibcursed\n    	GPL\n    
722	bicycleridecaloriecalculator\n    	GPL\n    
723	bidwatcher\n    	GPL\n    
724	biew\n    	GPL\n    
727	bigben\n    	\n    
728	bigbrother\n    	\n    
730	bigsam\n    	GPL\n    
731	bigsis\n    	GPL\n    
732	bb\n    	GPL\n    
734	bigforthminos\n    	GPL\n    
735	biggles\n    	GPL\n    
736	bigloo\n    	GPL\n    
737	bigloo-lib\n    	Freeware\n    
740	bigwig\n    	GPL\n    
743	bin86\n    	\n    
748	bind\n    	Public Domain\n    
752	bingox\n    	LGPL\n    
753	binkd\n    	GPL\n    
754	binutils\n    	GPL\n    
755	biojava\n    	LGPL\n    
756	biomail\n    	GPL\n    
757	bioperl\n    	Artistic\n    
759	bird\n    	GPL\n    
760	birdstepdbmsbirdstepdbmsxmlinterface\n    	\n    
762	bishop\n    	LGPL\n    
763	bison\n    	GPL\n    
764	bitvector\n    	Artistic\n    
765	bitchx\n    	BSD Original\n    
766	bitcomp\n    	GPL\n    
767	bitgen\n    	Artistic\n    
768	bitkeeper\n    	\n    
772	bk2site\n    	GPL\n    
773	bkmrkconv\n    	Artistic\n    
775	blackpenguin\n    	GPL\n    
776	blackarts\n    	Artistic\n    
778	blackbox\n    	BSD Original\n    
781	blackmail\n    	GPL\n    
782	blacknovatraders\n    	Artistic\n    
783	blade\n    	LGPL\n    
784	blade--\n    	LGPL\n    
785	bladeenc\n    	LGPL\n    
787	blade_mailform\n    	GPL\n    
788	blade_udmsearchb\n    	GPL\n    
793	bleetz\n    	\n    
798	blinke\n    	GPL\n    
799	blockade\n    	Public Domain\n    
800	blogorientedpublishing\n    	GPL\n    
804	blq\n    	Freeware\n    
806	bluecatlinux\n    	\n    
807	bluedrekar\n    	\n    
808	bluefish\n    	GPL\n    
809	bluej\n    	Freeware\n    
810	bluelava\n    	GPL\n    
813	bluetailtickettracker\n    	GPL\n    
815	bluetile\n    	GPL\n    
817	mail_list\n    	GPL\n    
818	bm2html\n    	Artistic\n    
823	bmsync\n    	GPL\n    
825	bnc\n    	GPL\n    
829	bnix\n    	GPL\n    
831	boa\n    	GPL\n    
832	boa-constructor\n    	GPL\n    
833	bob\n    	GPL\n    
835	bobobot\n    	Freeware\n    
836	bobomail\n    	GPL\n    
837	bobotpp\n    	GPL\n    
838	bochs\n    	LGPL\n    
839	boclient\n    	GPL\n    
841	bogosort\n    	GPL\n    
842	bogtk\n    	GPL\n    
843	bomb\n    	GPL\n    
844	bombbomb\n    	GPL\n    
846	bomb!\n    	Freeware\n    
847	bomberinstinct\n    	GPL\n    
848	bomberman\n    	Freeware\n    
849	bombermaze\n    	GPL\n    
851	bonnie\n    	GPL\n    
854	merge\n    	GPL\n    
861	bookmarksync\n    	GPL\n    
863	bootlogo\n    	GPL\n    
866	bootrip\n    	\n    
867	bootroot\n    	GPL\n    
870	boson\n    	GPL\n    
874	bottlerocket\n    	LGPL\n    
876	boxersneakernetusingpalm\n    	GPL\n    
877	boxes\n    	GPL\n    
880	bpowerd\n    	GPL\n    
881	brag\n    	GPL\n    
882	brahms\n    	GPL\n    
883	brain\n    	GPL\n    
884	bsp-initrd\n    	GPL\n    
886	brainstamp\n    	GPL\n    
887	bras\n    	GPL\n    
888	breloc\n    	GPL\n    
889	breplibrary\n    	LGPL\n    
898	brix\n    	Artistic\n    
899	brl\n    	GPL\n    
900	brl-cad\n    	BSD Revised\n    
901	brltty\n    	GPL\n    
908	browserexpress\n    	\n    
910	bru\n    	Other\n    
911	brutalcopy\n    	GPL\n    
913	bsd-utils-aconf\n    	BSD Original\n    
917	bsp\n    	GPL\n    
920	bterm\n    	\n    
921	btn4ws_pl\n    	GPL\n    
922	bttvgrab\n    	GPL\n    
924	bubblemon4gnome\n    	GPL\n    
927	buf\n    	GPL\n    
929	bugsquish\n    	GPL\n    
931	bug-buddy\n    	GPL\n    
935	bugtrack\n    	Freeware\n    
936	bugzilla\n    	MPL\n    
937	build\n    	GPL\n    
938	buildyourlinuxdisk\n    	GPL\n    
940	builderxcessoryproforlinux\n    	\n    
941	buildkernel\n    	GPL\n    
942	bulkmailer\n    	GPL\n    
944	bullucks\n    	\n    
947	burn_py\n    	GPL\n    
950	burnit\n    	GPL\n    
951	bbb\n    	GPL\n    
953	busybox\n    	GPL\n    
954	busytime\n    	Shareware\n    
955	butterfly\n    	Shareware\n    
956	buttonbar\n    	GPL\n    
959	buzzerelectronicnotebook\n    	\n    
962	bvi\n    	GPL\n    
963	bw-whois\n    	Artistic\n    
964	bw-admin\n    	\n    
966	bwbasic\n    	\n    
968	bxxik\n    	Other\n    
974	bzflag\n    	LGPL\n    
975	bzip2\n    	BSD Original\n    
978	cserverpages\n    	\n    
980	scandata_cpp\n    	GPL\n    
981	libcwd\n    	QPL\n    
982	moncls_h\n    	GPL\n    
983	c2hs\n    	GPL\n    
985	c-kermit\n    	\n    
986	c-xsc2_0\n    	LGPL\n    
993	cabextract\n    	GPL\n    
996	cacheabilityengine\n    	\n    
998	cactus\n    	GPL\n    
999	cadaver\n    	GPL\n    
1000	cadaverserver\n    	GPL\n    
1004	cafire\n    	GPL\n    
1007	cajun\n    	GPL\n    
1008	calamar\n    	LGPL\n    
1009	calamaris\n    	GPL\n    
1010	calc\n    	LGPL\n    
1011	calcium\n    	\n    
1015	calendarclass\n    	\n    
1016	calendarsfortheweb\n    	\n    
1018	call2sym\n    	GPL\n    
1019	cips\n    	GPL\n    
1022	calltree\n    	GPL\n    
1024	camexpert\n    	\n    
1027	came\n    	GPL\n    
1028	cameleo\n    	\n    
1029	camserv\n    	GPL\n    
1030	camstream\n    	GPL\n    
1031	cannonsmash\n    	GPL\n    
1034	capircvd\n    	GPL\n    
1037	capture\n    	GPL\n    
1038	carworld\n    	GPL\n    
1041	cardinfo\n    	GPL\n    
1042	cards_py\n    	GPL\n    
1043	cardwords\n    	\n    
1047	cascade\n    	GPL\n    
1048	cashcow\n    	LGPL\n    
1051	castorsubmitspider\n    	GPL\n    
1053	cath-angband\n    	\n    
1054	catalog\n    	GPL\n    
1055	catdoc\n    	GPL\n    
1056	catdvi\n    	GPL\n    
1058	cw2dmk\n    	GPL\n    
1059	caudium\n    	GPL\n    
1060	cavalry\n    	GPL\n    
1061	cavor\n    	GPL\n    
1062	cawfeecgisdk\n    	GPL\n    
1063	cbb\n    	GPL\n    
1064	cbe\n    	GPL\n    
1068	cbq_init\n    	GPL\n    
1069	cbrowser\n    	GPL\n    
1071	ccaudio2\n    	GPL\n    
1073	cccc\n    	Public Domain\n    
1078	ccflauncher\n    	\n    
1083	ccmath\n    	LGPL\n    
1085	ccp\n    	GPL\n    
1086	ccqbbssystem\n    	\n    
1088	ccscript\n    	GPLv3\n    
1089	ccsh\n    	GPL\n    
1090	ccte\n    	GPL\n    
1094	cdbuilder\n    	GPL\n    
1096	cdjukebox\n    	GPL\n    
1098	cd-console\n    	GPL\n    
1101	cdrchive2\n    	GPL\n    
1102	cd-romcontrolforlinux\n    	GPL\n    
1103	cdmt\n    	GPL\n    
1105	cdinfo\n    	Artistic\n    
1107	cdb\n    	Freeware\n    
1108	cdbackup\n    	BSD Original\n    
1112	cdctl\n    	Artistic\n    
1115	cddb\n    	GPL\n    
1116	cddb_py\n    	GPL\n    
1118	cddbd_sh\n    	GPL\n    
1121	cdenc\n    	GPL\n    
1122	cdfs\n    	GPL\n    
1129	cdlabelgen\n    	GPL\n    
1132	cdp\n    	GPL\n    
1133	cdparanoia\n    	GPL\n    
1135	cdplayer_app\n    	GPL\n    
1136	cdr\n    	GPL\n    
1137	cdr-toaster\n    	GPL\n    
1138	cdrdao\n    	GPL\n    
1139	cdrecord\n    	CDDL\n    
1142	cdrom_speed\n    	GPL\n    
1145	cdsa2\n    	BSD Original\n    
1147	cdspeed\n    	GPL\n    
1148	cdutil\n    	\n    
1149	cdxa\n    	GPL\n    
1152	celebrat\n    	GPL\n    
1155	centericq\n    	GPL\n    
1156	cdscsid\n    	GPL\n    
1157	cervisia\n    	QPL\n    
1158	cexcept\n    	\n    
1161	cfgtie\n    	Artistic\n    
1163	cflowd\n    	GPL\n    
1164	cftp\n    	GPL\n    
1165	cfv\n    	GPL\n    
1167	cgames\n    	GPL\n    
1168	cgen\n    	GPL\n    
1171	cgiportscanner\n    	GPL\n    
1173	cgi++\n    	Freeware\n    
1175	cgi-util\n    	LGPL\n    
1176	cgi-util++\n    	LGPL\n    
1179	cgiapplication\n    	Clarified Artistic\n    
1180	cgicache\n    	GPL\n    
1183	cgiwet\n    	Artistic\n    
1184	cgixmlform\n    	GPL\n    
1185	cgiirc\n    	GPL\n    
1186	cgiburn\n    	GPL\n    
1187	cgic\n    	\n    
1188	cgichk\n    	Freeware\n    
1189	cgicq\n    	GPL\n    
1190	cgiexec\n    	GPL\n    
1191	cgiforum\n    	GPL\n    
1194	cgilib++\n    	LGPL\n    
1196	cgilua\n    	MIT/X\n    
1200	cgiproxy\n    	\n    
1202	cgiwrap\n    	GPL\n    
1203	cgi_buffer\n    	\n    
1204	cgu_utils\n    	LGPL\n    
1208	cgvg\n    	GPL\n    
1211	themebuilder\n    	MPL\n    
1215	changetrack\n    	GPL\n    
1216	changingpages\n    	GPL\n    
1217	chango\n    	Freeware\n    
1220	charities_cron\n    	GPL\n    
1222	chbg\n    	GPL\n    
1227	checkaliases\n    	GPL\n    
1229	checkbot\n    	Perl\n    
1231	checker\n    	GPL\n    
1233	checkinstall\n    	GPL\n    
1234	checklinks\n    	\n    
1237	checkmails\n    	Freeware\n    
1239	checkservice\n    	GPL\n    
1243	chemapp\n    	Other\n    
1245	chemsuite\n    	GPL\n    
1246	chemtool\n    	GPL\n    
1248	cheops-ng\n    	GPL\n    
1251	chester\n    	Freeware\n    
1252	chetcpasswd\n    	GPL\n    
1256	chinesecheckers\n    	GPL\n    
1259	chirp\n    	GPL\n    
1260	chkconfig\n    	GPL\n    
1262	chkquota\n    	BSD Original\n    
1263	chkwww\n    	GPL\n    
1264	chlastmeter\n    	GPL\n    
1268	chpasswdforsquid\n    	GPL\n    
1269	chpp\n    	GPL\n    
1270	chromium\n    	Artistic\n    
1271	chrony\n    	GPL\n    
1274	ciaoprolog\n    	LGPL\n    
1277	cid\n    	\n    
1279	cilk\n    	GPL\n    
1280	cinclude2dot\n    	GPL\n    
1281	cinderella\n    	\n    
1282	cingb\n    	BSD Original\n    
1283	cint\n    	BSD Original\n    
1284	cell\n    	Proprietary\n    
1285	cipe\n    	GPL\n    
1286	circlemudlinux\n    	GPL\n    
1287	circlemud\n    	\n    
1289	circuslinux!\n    	GPL\n    
1294	cistronradiusserver\n    	GPL\n    
1296	citadel\n    	GPL\n    
1298	icaclient\n    	\n    
1299	citygen\n    	GPL\n    
1303	sbit\n    	GPL\n    
1304	ckmame\n    	GPL\n    
1305	cksfv\n    	GPL\n    
1306	clamshell\n    	Freeware\n    
1307	clanbomber\n    	GPL\n    
1308	clanlib\n    	zlib\n    
1309	clanmecha\n    	GPL\n    
1311	clarkconnect\n    	Other\n    
1312	clarrhmos\n    	GPL\n    
1313	classmemory\n    	BSD Original\n    
1316	class_csvfile_php3\n    	\n    
1333	classweb\n    	GPL\n    
1334	classytcl\n    	BSD Original\n    
1338	clean_mail\n    	GPL\n    
1339	clig\n    	GPL\n    
1340	cliserv\n    	GPL\n    
1341	clisp\n    	GPL\n    
1343	cloxx\n    	BSD Original\n    
1344	cloakanddaggermessengersystem\n    	GPL\n    
1346	clockspeed\n    	Freeware\n    
1349	cloneit\n    	Freeware\n    
1354	clusterd\n    	GPL\n    
1355	clusternfs\n    	GPL\n    
1357	clusutils\n    	GPL\n    
1358	cman\n    	Freeware\n    
1359	cmatrix\n    	GPL\n    
1360	cmb\n    	GPL\n    
1361	cmc\n    	GPL\n    
1362	cmd5checkpw\n    	Public Domain\n    
1366	cmucl\n    	Public Domain\n    
1367	cmusphinx\n    	BSD Original\n    
1369	cmubikdb\n    	BSD Original\n    
1371	cmvision\n    	GPL\n    
1373	co-browse\n    	Proprietary\n    
1375	tzoperlcc3\n    	GPL\n    
1376	cocalores\n    	GPL\n    
1378	cocolinuxutilities\n    	GPL\n    
