#  file: rfDevProjects2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, dev_loginname, is_admin, position, date_collected, datasource_id
#  FROM rf_developer_projects
#  WHERE datasource_id=219
#  ORDER BY proj_unixname, dev_loginname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	dev_loginname	is_admin	position	date_collected	datasource_id
activeyoutube	ritesharora	1	Admin	2010-05-03 15:18:05	219
activitystreams	face	1	Default	2010-05-03 15:18:08	219
activitystreams	jmdugan	1	Admin	2010-05-03 15:18:08	219
activrecord2sdb	garretwcox	1	Default	2010-05-03 15:18:13	219
acts-as-aln	planb	1	Default	2010-05-03 15:18:18	219
acts-as-blast	gmelton	1	Default	2010-05-03 15:18:23	219
acts-as-cms	minni	1	Default	2010-05-03 15:18:28	219
acts-as-cortado	erpe	1	Default	2010-05-03 15:18:31	219
acts-as-decimal	fbos	1	Default	2010-05-03 15:18:35	219
acts-as-graph	tsaleh	1	Default	2010-05-03 15:18:39	219
acts-as-guid	max_evil	1	Default	2010-05-03 15:18:43	219
acts-as-json	spencermiles	1	Default	2010-05-03 15:18:46	219
acts-as-lolcat	dysinger	1	Default	2010-05-03 15:18:51	219
acts-as-lru	mabj	1	Default	2010-05-03 15:18:54	219
acts-as-matree	bcandler	1	Default	2010-05-03 15:18:58	219
acts-as-nxt	epugh	1	Default	2010-05-03 15:19:02	219
acts-as-rated	carlivar	0	Senior Developer	2010-05-03 15:19:09	219
acts-as-rated	guynaor	1	Default	2010-05-03 15:19:09	219
acts-as-rdonly	kevincolyar	1	Default	2010-05-03 15:19:14	219
acts-as-secure	aaronbatalion	1	Admin	2010-05-03 15:19:19	219
acts-as-secure	damickjj	1	Admin	2010-05-03 15:19:19	219
acts-as-secure	efrederick	1	Admin	2010-05-03 15:19:19	219
acts-as-secure	valeksenko	1	Default	2010-05-03 15:19:19	219
acts-as-secured	critch	1	Default	2010-05-03 15:19:23	219
acts-as-slug	flip	1	Default	2010-05-03 15:19:27	219
acts-as-solr	tjackiw	1	Default	2010-05-03 15:19:30	219
acts-as-struct	khamanaka	1	Default	2010-05-03 15:19:34	219
acts-as-struct	s1041053	1	Admin	2010-05-03 15:19:34	219
acts-as-toucher	bmilekic	1	Default	2010-05-03 15:19:37	219
acts-as-tsearch	wiseleyb	1	Default	2010-05-03 15:19:42	219
acts-as-viewed	damianmarti	1	Default	2010-05-03 15:19:47	219
acts-as-with-ro	aaronbatalion	1	Admin	2010-05-03 15:19:51	219
acts-as-with-ro	damickjj	1	Admin	2010-05-03 15:19:51	219
acts-as-with-ro	efrederick	1	Admin	2010-05-03 15:19:51	219
acts-as-with-ro	taf2	1	Admin	2010-05-03 15:19:51	219
acts-as-with-ro	valeksenko	1	Default	2010-05-03 15:19:51	219
acts-pollable	ryanbreed	1	Default	2010-05-03 15:19:56	219
acts-subversive	ian-heggie	1	Admin	2010-05-03 15:20:01	219
acts-subversive	olefriis	1	Default	2010-05-03 15:20:01	219
acts-voteable	mmayers	1	Admin	2010-05-03 15:20:05	219
actsasauditable	galeal	1	Admin	2010-05-03 15:20:10	219
actsasauditable	mattscilipoti	1	Admin	2010-05-03 15:20:10	219
actsasauditable	vpuzzella	1	Admin	2010-05-03 15:20:10	219
actsascalendar	dwortlehock	1	Default	2010-05-03 15:20:14	219
actsascatalog	gwolf	1	Default	2010-05-03 15:20:18	219
actsasconstant	markbates	1	Default	2010-05-03 15:20:23	219
actsascurrency	jfiorini	1	Default	2010-05-03 15:20:28	219
actsasemailable	mattbeedle	1	Default	2010-05-03 15:20:32	219
actsasencrypted	alexbartlow	1	Default	2010-05-03 15:20:36	219
actsasfannable	heurion	1	Default	2010-05-03 15:20:41	219
actsasfastcount	valeksenko	1	Default	2010-05-03 15:20:45	219
actsasferret	jkraemer	1	Default	2010-05-03 15:20:49	219
actsasflaggable	lhalff	1	Default	2010-05-03 15:20:53	219
actsasformatted	cmercier	1	Default	2010-05-03 15:20:58	219
actsasgraphable	bsmith	0	Senior Developer	2010-05-03 15:21:02	219
actsasgraphable	godber	0	Senior Developer	2010-05-03 15:21:02	219
actsasgraphable	jumpbox	1	Admin	2010-05-03 15:21:02	219
actsasicontact	sfeley	1	Default	2010-05-03 15:21:06	219
actsasindexed	douglasfshearer	1	Default	2010-05-03 15:21:10	219
actsasjournal	shachi	1	Admin	2010-05-03 15:21:14	219
actsaslist-ext	boomdesigngroup	1	Default	2010-05-03 15:21:18	219
actsasliteral	rubyfu	1	Default	2010-05-03 15:21:22	219
actsasludia	noriuchi3	1	Default	2010-05-03 15:21:27	219
actsasludia	shachi	1	Admin	2010-05-03 15:21:27	219
actsasmappable	mmangino	1	Default	2010-05-03 15:21:31	219
actsasmetadata	sr3d	1	Default	2010-05-03 15:21:34	219
actsasmodified	au5lander	1	Default	2010-05-03 15:21:39	219
actsasnetwork	sjlombardo	1	Default	2010-05-03 15:21:44	219
actsasowned	bcc	1	Default	2010-05-03 15:21:48	219
actsaspartid	bearbr	1	Default	2010-05-03 15:21:52	219
actsaspartition	damickjj	1	Default	2010-05-03 15:21:57	219
actsasqueue	leonb	1	Default	2010-05-03 15:22:01	219
actsasrenderer	davetroy	1	Default	2010-05-03 15:22:06	219
actsasreplica	akitaonrails	1	Default	2010-05-03 15:22:10	219
actsasresource	jodosha	1	Admin	2010-05-03 15:22:14	219
actsasrevisions	bdurand	1	Default	2010-05-03 15:22:19	219
actsassenna	kazu	1	Default	2010-05-03 15:22:23	219
actsasshareable	jduff	1	Default	2010-05-03 15:22:27	219
actsassingleton	stephencelis	1	Default	2010-05-03 15:22:32	219
actsasstatused	markbates	1	Default	2010-05-03 15:22:35	219
actsassvn	tcoulter	1	Admin	2010-05-03 15:22:39	219
actsastasklist	morat	1	Default	2010-05-03 15:22:44	219
actsastrashable	bdurand	1	Default	2010-05-03 15:22:48	219
actsasupload	antrover	1	Admin	2010-05-03 15:22:51	219
actsdisjoint	a1kmm	1	Default	2010-05-03 15:22:56	219
actsmessage	raecoo	1	Default	2010-05-03 15:22:59	219
ad4ruby	rha7dotcom	1	Default	2010-05-03 15:23:03	219
adag	serasoft	1	Default	2010-05-03 15:23:06	219
adaptation	dormi	1	Default	2010-05-03 15:23:11	219
adaptation	tripiana	1	Admin	2010-05-03 15:23:11	219
add	aghareza	1	Default	2010-05-03 15:23:15	219
add	jmiller	1	Admin	2010-05-03 15:23:15	219
address-fetcher	allerin	1	Default	2010-05-03 15:23:19	219
addressable	sporkmonger	1	Default	2010-05-03 15:23:22	219
addressbook	whittwuli	1	Default	2010-05-03 15:23:26	219
addresslogic	binarylogic	1	Default	2010-05-03 15:23:30	219
adesklets-ruby	ripley	1	Default	2010-05-03 15:23:33	219
adhearsion	jicksta	1	Admin	2010-05-03 15:23:37	219
adhoc	arto	1	Default	2010-05-03 15:23:41	219
adhoc	bhuga	0	Developer	2010-05-03 15:23:41	219
adhoc	macbert	0	Developer	2010-05-03 15:23:41	219
admin-assistant	francis	1	Default	2010-05-03 15:23:45	219
adminpage	maimuzo	1	Default	2010-05-03 15:23:49	219
adminscaffold	mbleigh	1	Default	2010-05-03 15:23:56	219
admob	admob	1	Default	2010-05-03 15:24:01	219
admobpubcode	admob	1	Default	2010-05-03 15:24:06	219
admreq	smoked_cl	1	Default	2010-05-03 15:24:09	219
adobeshare	hkato	1	Default	2010-05-03 15:24:13	219
adocca-plugins	andreas-sjoberg	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	binja	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	kristianh	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	peterb	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	soma	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	teh_f	1	Admin	2010-05-03 15:24:17	219
adocca-plugins	zond	1	Default	2010-05-03 15:24:17	219
adsense	shanif	0	Senior Developer	2010-05-03 15:24:21	219
adsense	supernate	1	Default	2010-05-03 15:24:21	219
adsf	ddfreyne	1	Default	2010-05-03 15:24:24	219
adv-validations	serious__sam	1	Default	2010-05-03 15:24:29	219
advabest	louisxs	0	Senior Developer	2010-05-03 15:24:33	219
advabest	mseppae	0	Senior Developer	2010-05-03 15:24:33	219
advabest	sfuchs	1	Admin	2010-05-03 15:24:33	219
advabest	tbecker	1	Admin	2010-05-03 15:24:33	219
advancedsqlserv	rtierney	1	Default	2010-05-03 15:24:37	219
advertnet	farzy	1	Default	2010-05-03 15:24:41	219
advertnet	loic	1	Admin	2010-05-03 15:24:41	219
adviser	bryanp	1	Default	2010-05-03 15:24:46	219
advocasee	silentwhistler	1	Default	2010-05-03 15:24:50	219
adwallah	siddharthdawara	0	Senior Developer	2010-05-03 15:24:54	219
adwords4r	apijeffy	1	Admin	2010-05-03 15:24:57	219
adwords4r	chanezon	1	Admin	2010-05-03 15:24:57	219
adwords4r	ekolve	0	Senior Developer	2010-05-03 15:24:57	219
adwords4r	sgomes	1	Admin	2010-05-03 15:24:57	219
aeditor	jix	0	Default	2010-05-03 15:25:00	219
aeditor	jpedrosa	0	Default	2010-05-03 15:25:00	219
aeditor	kbrooks	0	Default	2010-05-03 15:25:00	219
aeditor	msparshatt	0	Default	2010-05-03 15:25:00	219
aeditor	neoneye	1	Default	2010-05-03 15:25:00	219
aeditor	pinguin751	0	Default	2010-05-03 15:25:00	219
aef	aef	1	Default	2010-05-03 15:25:03	219
aerial	mattsears	1	Default	2010-05-03 15:25:07	219
aethyr	planb	1	Default	2010-05-03 15:25:10	219
affected-items	murbanski	1	Default	2010-05-03 15:25:15	219
affine	bkerley	1	Default	2010-05-03 15:25:20	219
afphelper	verk	1	Default	2010-05-03 15:25:24	219
afs	jwheeler79	1	Default	2010-05-03 15:25:28	219
agclass	krassik	1	Default	2010-05-03 15:25:33	219
agency	drichards	1	Default	2010-05-03 15:25:37	219
agg4r	dpruessner	1	Admin	2010-05-03 15:25:41	219
agg4r	jithesha_2000	0	Developer	2010-05-03 15:25:41	219
agg4r	oli2007	0	Developer	2010-05-03 15:25:41	219
agg4r	rbrasser	0	Developer	2010-05-03 15:25:41	219
aggregate-assoc	tobiash	1	Default	2010-05-03 15:25:46	219
agil	viniciusteles	1	Default	2010-05-03 15:25:49	219
agile-planner	keynan	1	Default	2010-05-03 15:25:53	219
agilelamp	method	1	Default	2010-05-03 15:25:58	219
agileplanner	guenthsv	1	Default	2010-05-03 15:26:02	219
ago	zopio	1	Default	2010-05-03 15:26:06	219
agora	arto	1	Default	2010-05-03 15:26:10	219
agora	bhuga	0	Developer	2010-05-03 15:26:10	219
agora	macbert	0	Developer	2010-05-03 15:26:10	219
agoraruby	greg	0	Default	2010-05-03 15:26:15	219
agoraruby	lunacymaze	1	Default	2010-05-03 15:26:15	219
agoricnim	choy	0	Senior Developer	2010-05-03 15:26:19	219
agoricnim	tameware	1	Default	2010-05-03 15:26:19	219
agoricnim	xpnyc	0	Senior Developer	2010-05-03 15:26:19	219
agree2	pelleb	1	Default	2010-05-03 15:26:23	219
agtools	jdance	1	Default	2010-05-03 15:26:26	219
ahft	bassam	1	Admin	2010-05-03 15:26:30	219
ahtdt	dcgrigsby	1	Default	2010-05-03 15:26:33	219
ai-app-prog	tom	1	Default	2010-05-03 15:26:38	219
ai4r	sfierens	1	Admin	2010-05-03 15:26:43	219
aikidosalvador	lidiabazanelli	1	Default	2010-05-03 15:26:47	219
aiml-programr	lorisfaina	0	Owner-Developer	2010-05-03 15:26:52	219
aiml-programr	mcix	1	Default	2010-05-03 15:26:52	219
aiml-programr	ntoll	1	Admin	2010-05-03 15:26:52	219
aiolos	daesan	1	Default	2010-05-03 15:26:56	219
air	faro00oq	1	Default	2010-05-03 15:27:00	219
airake	gabe	1	Admin	2010-05-03 15:27:05	219
airbrush	crafterm	1	Admin	2010-05-03 15:27:09	219
airbrush	nickm	1	Admin	2010-05-03 15:27:09	219
airport	danimal	1	Default	2010-05-03 15:27:13	219
airscript-fe	softnux	1	Admin	2010-05-03 15:27:18	219
airy	vardhan0	1	Default	2010-05-03 15:27:22	219
ajaco	manabu	1	Default	2010-05-03 15:27:26	219
ajail	miyaduka	1	Default	2010-05-03 15:27:30	219
ajax-grid	evronm	1	Admin	2010-05-03 15:27:34	219
ajax-upload	sprsquish	1	Default	2010-05-03 15:27:38	219
ajaxscaffold	nicwilliams	0	Senior Developer	2010-05-03 15:27:42	219
ajaxscaffold	rrwhite	1	Admin	2010-05-03 15:27:42	219
ajaxscaffold	wolfmanjm	0	Junior Developer	2010-05-03 15:27:42	219
ajaxscaffoldp	cainlevy	0	Senior Developer	2010-05-03 15:27:46	219
ajaxscaffoldp	computermage	0	Junior Developer	2010-05-03 15:27:46	219
ajaxscaffoldp	edwinmoss	0	Junior Developer	2010-05-03 15:27:46	219
ajaxscaffoldp	rrwhite	1	Default	2010-05-03 15:27:46	219
ajaxscaffoldp	srutherford	1	Admin	2010-05-03 15:27:46	219
ajaxtabnav	hoshi	1	Default	2010-05-03 15:27:50	219
aka	ariekusuma	1	Default	2010-05-03 15:27:54	219
aka	gozali	0	Support Tech	2010-05-03 15:27:54	219
akasakarb	dot	1	Admin	2010-05-03 15:27:59	219
akasakarb	kakutani	1	Admin	2010-05-03 15:27:59	219
akasakarb	koichiro	1	Admin	2010-05-03 15:27:59	219
akasakarb	psychs	1	Admin	2010-05-03 15:27:59	219
akasakarb	secondlife	1	Admin	2010-05-03 15:27:59	219
akasakarb	takai	1	Default	2010-05-03 15:27:59	219
akasakarb	tokuhirom	1	Admin	2010-05-03 15:27:59	219
akasakarb	walf443	1	Admin	2010-05-03 15:27:59	219
akasakarb	yone098	1	Admin	2010-05-03 15:27:59	219
akiba	bhrgunatha	1	Default	2010-05-03 15:28:03	219
akismet	wayneeseguin	1	Default	2010-05-03 15:28:07	219
akismet-ruby	nikradford	1	Default	2010-05-03 15:28:11	219
akisu	brett	1	Default	2010-05-03 15:28:15	219
alacarte	kimberlygriggs	1	Default	2010-05-03 15:28:18	219
aladdin	oksure	1	Default	2010-05-03 15:28:21	219
albuin	albin	1	Default	2010-05-03 15:28:26	219
albumart	sprat	1	Default	2010-05-03 15:28:30	219
albumartrb	fraiha	1	Default	2010-05-03 15:28:34	219
alchemist	intangiblefrog	1	Default	2010-05-03 15:28:39	219
alertpay	shanerhanna	1	Admin	2010-05-03 15:28:43	219
alertpay	tigris	1	Default	2010-05-03 15:28:43	219
alexandria	alexander	0	Developer	2010-05-03 15:28:47	219
alexandria	arrakis	0	Developer	2010-05-03 15:28:47	219
alexandria	aymeric	0	Developer	2010-05-03 15:28:47	219
alexandria	bel8	0	Developer	2010-05-03 15:28:47	219
alexandria	cathalmagus	1	Admin	2010-05-03 15:28:47	219
alexandria	daf	0	Developer	2010-05-03 15:28:47	219
alexandria	etopian	0	Developer	2010-05-03 15:28:47	219
alexandria	george_007	0	Developer	2010-05-03 15:28:47	219
alexandria	iancmcc	0	Developer	2010-05-03 15:28:47	219
alexandria	kapheine	0	Developer	2010-05-03 15:28:47	219
alexandria	kelvingardiner	0	Developer	2010-05-03 15:28:47	219
alexandria	laurusnobilis	0	Developer	2010-05-03 15:28:47	219
alexandria	lckarssen	0	Developer	2010-05-03 15:28:47	219
alexandria	ljd	0	Developer	2010-05-03 15:28:48	219
alexandria	lrichard	0	Developer	2010-05-03 15:28:48	219
alexandria	lrz	1	Admin	2010-05-03 15:28:48	219
alexandria	lucasr	0	Developer	2010-05-03 15:28:48	219
alexandria	magmax	0	Developer	2010-05-03 15:28:48	219
alexandria	method	1	Admin	2010-05-03 15:28:48	219
