#  file: fsfProjectRequirements2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.requirement, pi.requirement_type, pi.datasource_id 
#  FROM fsf_project_requirements pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.requirement
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	requirement	requirement_type	datasource_id
3950	aMule	Crypto++	Weak Prerequisite	221
3950	aMule	gd	Weak Prerequisite	221
3950	aMule	wxWidgets 2.6.0 or later	Use Requirement	221
3857	and-httpd	perl	Build Prerequisite	221
3857	and-httpd	python	Weak Prerequisite	221
3857	and-httpd	scons	Weak Prerequisite	221
3857	and-httpd	socket_poll	Build Prerequisite	221
3857	and-httpd	timer_q	Build Prerequisite	221
3857	and-httpd	vstr	Build Prerequisite	221
5247	AnGramadoir	Perl 5.8 or later	Use Requirement	221
3855	animail	bogofilter	Weak Prerequisite	221
3855	animail	mail-transport-agent	Weak Prerequisite	221
3855	animail	procmail	Weak Prerequisite	221
3855	animail	Python 2.0 or later	Use Requirement	221
3855	animail	spamassassin	Weak Prerequisite	221
3854	anjuta	automake	Use Requirement	221
3854	anjuta	bash	Use Requirement	221
3854	anjuta	ctags	Use Requirement	221
3854	anjuta	gdb	Use Requirement	221
3854	anjuta	GNOME	Use Requirement	221
3854	anjuta	gnome-help-browser	or Nautilus	221
3854	anjuta	gnome-terminal	Use Requirement	221
3854	anjuta	gnome-xml	Use Requirement	221
3854	anjuta	grep	Use Requirement	221
3854	anjuta	GTK	Use Requirement	221
3854	anjuta	indent	Use Requirement	221
3854	anjuta	scrollkeeper	Use Requirement	221
5274	ANK_djbdbs	Ananke::SqlLink	Use Requirement	221
5274	ANK_djbdbs	Ananke::Template	Use Requirement	221
5274	ANK_djbdbs	Ananke::Utils	Use Requirement	221
5274	ANK_djbdbs	Apache 1.3.23	Use Requirement	221
5274	ANK_djbdbs	djbdns	Use Requirement	221
5274	ANK_djbdbs	Mail::Sendmail	Use Requirement	221
5274	ANK_djbdbs	mod_perl	Use Requirement	221
5274	ANK_djbdbs	Perl 5.6.1 or later	Use Requirement	221
5274	ANK_djbdbs	Proc::PID_File	Use Requirement	221
3853	annif	gettext	Use Requirement	221
3853	annif	MySQL	Use Requirement	221
3852	anomysanitizer	MIME::QuotedPrint modules	Use Requirement	221
3852	anomysanitizer	Perl 5.005_003	or later	221
3852	anomysanitizer	procmail	Weak Prerequisite	221
5245	Ansel	ImageMagick	Use Requirement	221
5245	Ansel	MySQL	Use Requirement	221
5245	Ansel	PHP	Use Requirement	221
3850	ant	JAXP-compliant XML parser	Source Requirement	221
3849	anteil	Apache	Use Requirement	221
3849	anteil	MySQL	Use Requirement	221
3849	anteil	PHP	Use Requirement	221
5243	AntiAliasingTool	gcc with C++ support	Build Prerequisite	221
5243	AntiAliasingTool	make	Build Prerequisite	221
5242	AntiExploit	automake	Use Requirement	221
5242	AntiExploit	Config::Simple	Use Requirement	221
5242	AntiExploit	Digest::MD5	Use Requirement	221
5242	AntiExploit	File::Locate	Use Requirement	221
5242	AntiExploit	locate-database	Use Requirement	221
5242	AntiExploit	Perl	Use Requirement	221
5242	AntiExploit	wget	Use Requirement	221
5241	AntiRight	OpenMotif or LessTif	Use Requirement	221
3845	anubis	GNU Privacy Guard	Weak Prerequisite	221
3845	anubis	GnuTLS	Weak Prerequisite	221
3845	anubis	GPGME	Weak Prerequisite	221
3845	anubis	Guile	Weak Prerequisite	221
3845	anubis	PCRE	Weak Prerequisite	221
3845	anubis	pidentd	Weak Prerequisite	221
3842	apache-session	Digest::MD5	Use Requirement	221
3842	apache-session	Storable	Use Requirement	221
3839	apf	SSL	Use Requirement	221
3839	apf	zlib	Use Requirement	221
3837	aping	Python	Use Requirement	221
3836	aplus	X11 includes	Build Prerequisite	221
3836	aplus	XEmacs	Weak Prerequisite	221
5240	Apophenia	GNU Scientific Library	Use Requirement	221
5240	Apophenia	SQLite	Use Requirement	221
3835	apparix	libc	Build Prerequisite	221
3832	apsfilter	A converter for each file format	typically ghostscript if you don&#39;t have a true	221
3832	apsfilter	acroread	Use Requirement	221
3832	apsfilter	ghostscript	for non-PostScript printers	221
3832	apsfilter	ImageMagick	Use Requirement	221
3832	apsfilter	netpbm utils).	Use Requirement	221
3832	apsfilter	psutils	Use Requirement	221
5272	APSR	Net::RawIP module	Use Requirement	221
5272	APSR	perl 5	Use Requirement	221
3831	apt-torrent	BitTorrent	Use Requirement	221
3829	aqsis	libargparse	Build Prerequisite	221
5238	Aqualung		Build Prerequisite	221
5238	Aqualung	GTK+-2.0	Build Prerequisite	221
5238	Aqualung	libXML	Build Prerequisite	221
5237	Aquarium	Cheetah	http://cheetahtemplate.org/	221
5237	Aquarium	Web server	Use Requirement	221
3826	archive	pygtk2	Use Requirement	221
3826	archive	Python	Use Requirement	221
3826	archive	ROX-Filer	Weak Prerequisite	221
3826	archive	ROX-Lib2	Use Requirement	221
3825	archmbox	bzip2	for bzip compression	221
3825	archmbox	cat	Use Requirement	221
3825	archmbox	cp	Use Requirement	221
3825	archmbox	fuser	Use Requirement	221
3825	archmbox	gzip/gunzip	Use Requirement	221
3825	archmbox	mbxcvt or mailutil	for mbx mailboxes support	221
3825	archmbox	mv	Use Requirement	221
3825	archmbox	rm	Use Requirement	221
3822	arfg	divert	Use Requirement	221
3822	arfg	eperl	Use Requirement	221
3822	arfg	m4	Use Requirement	221
3820	arguseye	argus-clients	Use Requirement	221
3819	aria	gettext 0.10.35 or higher	Build Prerequisite	221
3819	aria	GTK+ 1.2.6 or higher	Build Prerequisite	221
3817	aricalc	Gnome 1.2 or later	Use Requirement	221
3816	armagetron_advanced	SDL	Use Requirement	221
3816	armagetron_advanced	SDL-dev	Build Prerequisite	221
3816	armagetron_advanced	X11	Use Requirement	221
3815	aroundme	aspell	for spell checking	221
3815	aroundme	cron	for sending bulk newsletters	221
3815	aroundme	GDlib2.x or later	Source Requirement	221
3815	aroundme	PHP 4.x	Use Requirement	221
3813	arping	libnet	http://www.packetfactory.net/libnet/	221
3813	arping	libpcap	http://www.tcpdump.org/	221
3812	arson	KDE	Use Requirement	221
