#  file: owProjDesc2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, description, date_collected, datasource_id
#  FROM ow_project_description
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	description	date_collected	datasource_id
mind	MIND is an implementation of the Fractal component model for the development of embedded softwares. It provides an architecture compilation tool-chain, a component library and an integrated development environment based on Eclipse.	2010-05-03 15:36:37	220
modfact	(Model Factory) is a Tool Box for the MDA(TM) (Model Driven Architecture)	2010-05-03 15:36:37	220
navilis	Xcalia NAViLIS Web allows a developer to browse, query for, create, update, and delete business objects that are mapped to a live database. NAViLIS Web is like a database browser, except that the user navigates Java objects instead of database tables.	2010-05-03 15:36:37	220
newsadmin	This project has not yet submitted a description.	2010-05-03 15:36:37	220
noah	Noah is an implementation of an Interaction Service. &lt;br&gt;Interactions between components are described using a specific language (ISL). &lt;br&gt;Successive Adaptations are merged in a commutative and associative way.	2010-05-03 15:36:37	220
objectweb-zh	ObjectWeb Chinese Project is a work in progress to translate ObjectWeb Document, localize ObjectWeb Projects and prompt ObjectWeb Open Source in China. This project serves as the file repository for the document translation effort.	2010-05-03 15:36:37	220
ocelot	OCELOT is an Open Collaborative Environment for the Leverage of Online insTrumentation. It is a Framework to easily create and deploy collaborative-based applications in order to operate one or several real remote devices over the Internet.	2010-05-03 15:36:37	220
ofccharts	OFC Charts fills the need for publishing reports and statistics in graphical format such as curves and histograms. Fully written in JAVA and compatible with all popular IDEs it creates graphics in industry standard JPEG, PNG and SVG formats.	2010-05-03 15:36:37	220
oncepi	As an Integration-Oriented business process management system, OncePI project provides a platform to construct dynamic process flexibly and efficiently.	2010-05-03 15:36:37	220
oncess	OnceSS is for service selection for business process. It can optimize the QoS of bussiness process. This project is hosted on the Trustie forge, operated by the OW2 China Local Chapter.	2010-05-03 15:36:37	220
opalval	Project for validation of ow2 forge	2010-05-03 15:36:37	220
openediint	Open EDIINT is an open source implementation of EDIINT standards. It provides a component library and tools to build applications that allow companies to integrate with their partners, making Electronic Data Interchange over the Internet.	2010-05-03 15:36:37	220
openmobileis	Open Mobile IS is a Java framework that aim to provide all the functionalities and components needed for the developpement of entreprise mobile application.	2010-05-03 15:36:37	220
ops	Orbeon Forms is an open source forms solution that handles the complexity of forms typical of the enterprise or government. It is delivered to standard web browsers thanks to XForms and Ajax technology, with no need for client-side software or plugins.	2010-05-03 15:36:37	220
orchestra	Orchestra is a Web Service Orchestration Suite based on the OASIS standard BPEL (Business Process Execution Language). 	2010-05-03 15:36:37	220
orientwareccm	A CCM implementation in C++	2010-05-03 15:36:37	220
osa-interop	The OSA CCV Project provides software, tools, collatoral and guidelines for interoperability of OSA and OW2 projects and vendors. It leverages the 3 year effort by OSA to demonstrate project interoperability.	2010-05-03 15:36:37	220
oslcv3	Open Source License Checker V.3 is tool for inspection and analysis of license information from open source packages.	2010-05-03 15:36:37	220
oyster	Enhydra Oyster is a Java library for SMIME signing and encryption using different key strengths and algorithms. It is developed with suport and testing for major E-Mail clients.	2010-05-03 15:36:37	220
pargres	ParGRES is a Database Cluster Middleware whose main goal is to efficiently process heavy-weight queries (e.g. OLAP). Our query processing combines intra and inter-query parallelism, while using replication and virtual fragmentation over a PC cluster.	2010-05-03 15:36:37	220
petals	The PETALS Services Platform provides a distributed open source implementation of Java Business Integration (JBI) spec as a core element to build OW2 ESB solutions, leveraging existing Consortium s components.	2010-05-03 15:36:37	220
pkuas	JOnAS PKU is a light-weight application server prototype. It functions as component operating platform based on Java/J2EE technology. It aims at exploring advanced middleware features like easy of management, flexibility, and open to change.	2010-05-03 15:36:37	220
polyorb	PolyORB is a schizophrenic middleware that has an original architecture decoupling protocol personalities from application personalities. PolyORB enables in the same middleware: configurability, genericity and M2M.	2010-05-03 15:36:38	220
rfid	RFID project is a collection of RFID related components and middleware available from ObjectWeb s software stack.	2010-05-03 15:36:38	220
