#  file: fmRawProjectStats2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
220	am-utils\n    	2.06\n    	NULL	NULL	120.34\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
221	amacdys\n    	1.42\n    	NULL	NULL	94.23\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
222	amanda\n    	23.13\n    	NULL	NULL	702.31\n    	NULL	NULL	6\n    	7\n    	NULL	117\n    
223	amavis\n    	1.59\n    	NULL	NULL	591.27\n    	NULL	NULL	2\n    	4\n    	NULL	79\n    
224	amaya\n    	8.55\n    	NULL	NULL	483.98\n    	NULL	NULL	6\n    	9\n    	NULL	90\n    
226	amber\n    	2.15\n    	NULL	NULL	74.97\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
227	amcatommodulecompiler\n    	2.21\n    	NULL	NULL	45.89\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
228	amcmailclient\n    	1.0\n    	NULL	NULL	36.86\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
229	amcl\n    	7.39\n    	NULL	NULL	207.65\n    	NULL	NULL	3\n    	3\n    	NULL	21\n    
232	amf\n    	1.79\n    	NULL	NULL	99.56\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
234	amiwm\n    	0.0\n    	NULL	NULL	95.8\n    	NULL	NULL	5\n    	5\n    	NULL	6\n    
235	aml\n    	2.57\n    	NULL	NULL	41.89\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
236	ammp\n    	1.0\n    	NULL	NULL	57.16\n    	NULL	NULL	2\n    	2\n    	NULL	2\n    
238	amount\n    	2.33\n    	NULL	NULL	50.85\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
242	amx\n    	1.56\n    	NULL	NULL	49.9\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
246	anacron\n    	1.0\n    	NULL	NULL	129.15\n    	NULL	NULL	1\n    	1\n    	NULL	9\n    
248	analog\n    	6.2\n    	NULL	NULL	427.19\n    	NULL	NULL	8\n    	8\n    	NULL	85\n    
250	andychat\n    	2.78\n    	NULL	NULL	39.17\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
253	anfy\n    	1.43\n    	NULL	NULL	36.17\n    	NULL	NULL	0\n    	1\n    	NULL	1\n    
254	angband\n    	8.75\n    	NULL	NULL	257.98\n    	NULL	NULL	8\n    	8\n    	NULL	44\n    
255	angelnetworkmonitor\n    	0.0\n    	NULL	NULL	106.7\n    	NULL	NULL	1\n    	1\n    	NULL	7\n    
257	angif\n    	1.76\n    	NULL	NULL	57.2\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
259	angst\n    	1.75\n    	NULL	NULL	147.31\n    	NULL	NULL	0\n    	0\n    	NULL	8\n    
263	animail\n    	5.27\n    	NULL	NULL	309.62\n    	NULL	NULL	1\n    	2\n    	NULL	54\n    
264	anitmt\n    	2.67\n    	NULL	NULL	53.76\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
