#  file: sfRawDownloads2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes downloads data for each project. This info 
#  is summed from the daily download data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(downloads) 
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  downloads: the sum of downloads for this 60-day period 
proj_unixname	sum(downloads)
openpandorasbox	0
openpanel	0
openparental	0
openparlay	0
openparsec	0
openpassage	0
openpaste	0
openpastebin	0
openpatch	0
openpatente	0
openpavilion	0
openpay	0
openpayroll	0
openpaysys	0
openpbxlogger	0
openpc	0
openpc2	0
openpcb	0
openpci	0
openpcr	0
openpcs	0
openpdf	0
openpdp	0
openpdv	0
openpe	0
openpec	0
openpecs	0
openpeer2mail	0
openperfmetr	0
openpermis	0
openpes	0
openpesq	0
openpf	0
openpfb	0
openphakt	0
openphonon	0
openphotoalbum	0
openphotopod	0
openphp	0
openphpauction	0
openphphelpdesk	0
openphplearning	0
openphplibrarym	0
openphprpg	0
openphr	0
openphysic	0
openphysics	0
openpi	0
openpickit	0
openpie	0
openpig	0
openpiggybank	0
openpilot	0
openpilotlog	0
openpim	0
openpinball	0
openpinboard	0
openpip	0
openpipeline	0
openpiv	74
openpixie	2
openpixpdq	7
openpjb	21
openpkg	0
openpkmn	0
openpl	0
openplacement	0
openplan	0
openplanetary	0
openplanner	0
openplay	0
openplayboy	0
openplayer	0
openplex	0
openplexus	0
openplm	0
openplot	0
openpls	0
openplusrun	0
openpm	0
openpm-org	0
openpmc	0
openpmf	0
openpmi	0
openpms	0
openpne	0
openpnl	0
openpoc	0
openpoker	0
openpokerdb	0
openpokerproj	0
openpollution	0
openpop	0
openpoplog	0
openpopnet2009	0
openpopulous	0
openport	0
openportal	0
openportalguard	0
openportalnet	0
openportletscrm	0
openportmapper	0
openpos	0
openposnet	0
openposs	0
openpower	0
openpowerlink	0
openpowerlinux	0
openpp	0
openppa	0
openppc	0
openppit	0
openppl	0
openppltrainer	0
openppp	0
openpr	0
openprepay	0
openpress	0
openprince2	0
openprintassist	0
openprivacy-196	0
openpro	0
openprocess	0
openprofile	0
openprofileads	0
openprog	0
openproj	0
openproject	0
openprojectmana	0
openprojman	0
openprontolib	0
openprop	0
openpropel	0
openprospect	0
openprotect	0
openproteome	0
openprotocol	0
openproximity	0
openproxy	0
openprp	0
openps	0
openpsa	0
openpsd	0
openpss	0
openpsx	0
openpt	0
openptc	35
openptcdelphi	5
openptk	0
openptp	0
openptt	3
openpublic	0
openpublisher	158
openpunch	1
openpundit	0
openpva	0
openpvr	0
openpx	0
openpxe	0
openq	286
openqa	0
openqc	0
openqemumanager	86
openqmail	0
openqmportal	0
openqnx	311
openqq	0
openqreg	44
openqrm	5730
openqti	0
openquake	10
openquality	0
openquartz	661
openquasar	9
openquery	0
openquest	0
openqueue	26
openquickbook	0
openquicktime	281
openquote	0
openquran	0
openquran19	0
openquran19beta	0
openra	0
openracer	0
openradius	0
openraid	0
openraider	321
openrail	6
openramweb	0
openrank	0
openrasmol	648
openrave	0
openraw	0
openraytrace	129
openrbil	0
openrca	0
openrcm	120
openrct	90
openrdate	76
openrdk	73
openrdl	48
openrdm	0
openrds	16
openreader	0
openreality	3
openrealms	0
openrealty-rss	31
openrecipe	0
openrecipexml	0
openrecorder	0
openredalert	496
openreef	0
openref	0
openreference	9
openregedit	0
openregister	3
openrehab	0
openrelations	0
openrelax	54
openrender	0
openrender3d	0
openrentstock	260
openrep	0
openrepo	22
openreport	30
openreports	0
openrepository	0
openreq	0
openreqmgmt	0
openreqs	0
openrequest	5
openres	327
openresearch	0
openrestaurant	0
openretsclient	209
openrevman	0
openrfc	0
openrfid	0
openrhythm	0
openria	0
openrico	3437
openrider	0
openrims	0
openrisk	0
openrisk-pro	0
openriskx	0
openriverbed	6
openrj	85
openrke	0
openrm	513
openrm-jaxws	0
openrmi	5
openrmm	0
openrms	0
openrmsp	0
openroad	0
openroad-plus	0
openrobot1	0
openrobotdev	0
openrobotics	0
openrobotino	0
openrock	51
openrods	129
openrolap	11
openrook	0
openroot	0
openros	31
openrosemarie	0
openrotel	0
openrouter	0
openrp	0
openrpg	3737
openrpg-cms	4
openrpg-gde	5
openrpgbrasil	0
openrpn	7
openrpr	0
openrpt	1525
openrq	0
openrrcp	57
openrsa	43
openrsm	884
openrsscreator	5
openrssreader	31
openrtcpxr	0
openrtf	17
openrtmud	0
openrts	0
openrts2	0
openrules	0
openrulesengine	0
openrumble	0
openrummy	0
openrush	23
opensaf	0
opensage	0
opensail	0
opensailplan	1
opensalon	0
opensampler	0
opensandbox	0
opensandra	195
opensarsimongpu	32
opensas	0
opensat	0
opensaymon	0
opensb	353
opensc	0
opensca	0
openscada	0
openscape	0
openscatternet	0
openscene	0
openscenegraph	1
openscf	3
opensch	0
opensched	123
openschedule	0
openscheduler	0
openscheduling	0
openschema	0
openscholar	0
openschool	0
openschoolmanag	0
openschools	27
openschoolsys	0
openscl	0
opensclconfig	17
openscm	0
openscoop	0
openscorecard	100
openscoreformat	77
openscout	0
openscoutsuite	0
openscript	2
openscrobbler	0
openscvp	0
opensdb	0
opensdi	0
opensdk	25
opensdpi	0
opensdr	33
opensds	0
openseagull	0
openseal	15
openseaq	1
opensearch	0
opensearchit	0
openseat	0
opensebj	5435
opensecslib	0
opensecurepay	0
opensecurity	0
opensecurityapp	0
opensed	80
openseed	12
openseeds	0
openseeit	118
opensef	605
opensegment	0
opensek	189
openself	3
opensemanticbi	0
opensemp	0
opensend	2
opensensor	0
openseo	0
opensepa	0
opensepia	0
openser-reg	0
openseradmin	122
opensermitest	0
openservices	0
openserx	0
opensessame	0
opensetup	14
opensftpapplet	0
opensfv	13
opensg	414
opensh	0
openshade	0
openshare	0
opensharelive	5
opensharepoint	266
openshark	0
opensheet	0
openshell	1
openshelter	0
openshift	0
openship	0
openshiptools	0
openshooter	417
openshop	2
openshore	182
openshow	0
openshowcenter	57
openshows	0
openshowvar	55
openshs	0
opensi	165
opensidebar	0
opensidebarx	143
opensigma	0
opensignature	1950
opensih	0
opensilator	0
opensim	0
opensim-viewer	2220
opensimmpls	293
opensimpx	30
opensims	130
opensimsim	12
opensimulator	73
opensimviewer	0
opensimwebmin	0
opensimwi	0
opensimwiredux	201
opensinger	0
opensips	711
opensips-cp	946
opensipstack	818
opensiqserver	1
opensite	0
opensitecms	61
opensitesearch	41
openskate	0
openskm	0
opensky	0
openskynet	79
openskype	0
openskyzx	0
opensl	9
opensla	0
openslate	3
openslide	0
openslim	18
openslime	0
openslms	0
opensloc	0
openslp	926
openslprodupd	14
opensls	0
opensludge	0
opensma	0
opensmalloffice	0
opensmash	0
opensmd-temp	55
opensmdi	0
opensmdr	92
opensmile	0
opensmis	0
opensml	16
opensms	16
opensms-server	0
opensmsc	0
opensmspager	0
opensmtp-net	410
opensmtpnet	0
opensmus	112
opensn	0
opensnackbar	0
opensnc	9502
opensnmp	228
opensnom	0
opensoa	0
opensob	0
opensoccer	0
opensocial	92
opensocialnet	0
opensocks	34
opensocks5	0
opensoft	0
opensolaris-gcc	0
opensolid	0
opensolus	0
opensonata	0
opensong	8859
opensonic	0
opensonify	0
opensop	0
opensorter	0
opensos	2
opensoundcue	0
opensounding	30
opensource	8
opensource-br	0
opensource-cmdb	235
opensourceai	3
opensourceavata	0
opensourceavl	0
opensourcebb	0
opensourcebots	0
opensourcebt	0
opensourcecms	0
opensourcecmseu	0
opensourcecrm	65
opensourcedcc	0
opensourcedemoc	0
opensourceengin	0
opensourceerpne	0
opensourcefgl	0
opensourceflash	0
opensourceforex	0
opensourceframe	0
opensourcefreew	0
opensourcehdlc	36
opensourcehelp	14
opensourcehms	0
opensourcehr	0
opensourcekit	399
opensourcemafia	158
opensourcemark	858
opensourcemath	3
opensourcemep	0
opensourcemugen	0
opensourcep2p	76
opensourcepan	45
opensourcepayro	0
opensourcepets	0
opensourcepong	0
opensourcesbc	0
opensourcescada	0
opensourcescout	0
opensourcesmsc	0
opensourceteamc	17
opensourcetfps	0
opensourcetrack	27
opensourcevotng	0
opensourcewc2	0
opensourcewiki	2
opensourceword	0
opensourceworld	0
opensox	0
openspace-space	0
openspacegame	0
openspacemmo	0
openspaceprojec	0
openspaces	0
openspeak	38
openspear	3
openspecbase	0
openspeculoos	67
openspeedcard	1
openspell	0
openspi	0
openspice	0
openspm	0
openspore	0
openspreadsheet	7
opensprings	63
opensprout	0
opensputnik	3
openspy	0
openspywaremon	0
opensql-xml	0
opensqlmanager	23
opensqlmon	0
opensquaro	0
opensquawk	0
opensr	32
opensrcreviews	0
opensrcscanpjct	0
opensrd	6
opensrm	0
opensrs	2
opensrs-enhance	0
opensrs-php	98
opensrs-sf	17
opensrshosting	2
opensrsjava	2
openss13	322
openss7	36
openss7stack	0
openssa	0
openssd	0
openssg	3
openssh-aix	4565
openssh4windows	0
opensshchroot	0
opensshwin32	0
openssi-webview	216
openssl-ca	45
openssl-java	0
openssl-net	334
openssl-tlsx	0
openssl32	29
openssl4j	0
openssl4pki	22
opensslcli	0
opensslgui	0
opensso	40
opensst	4
opensta	4157
openstaff	0
openstage	0
openstages	168
openstall	0
openstamanager	96
openstar	9
openstat	0
openstate	0
openstatecharts	1
openstation	2
openstatistics	1
openstats	1
openstatserver	2
opensteer	1289
openstego	1094
openstereo	0
openstil	10
openstim	0
openstock	0
openstockguide	0
openstone	0
openstore	9
openstory	1
openstrategy	0
openstream	5
openstreetidm	0
openstreetmapno	0
openstrike	0
openstrsecii	83
openstudio	0
openstunts	0
opensub	809
opensubspace	0
opensubsystems	119
opensubtitleed	975
opensubzero	4
opensuite	53
opensummitz	0
opensupplychain	0
opensupport	0
opensupport-fyp	0
opensupra	0
opensur	0
opensurf	0
opensurveillanc	0
opensurvey	0
opensurveys	0
opensvgviewer	442
opensvm	116
opensvms	0
opensvt	0
openswg	30
openswitch	0
opensxdl	3
opensymphero	79
opensymphony	195
opensync	80
opensynch	8
opensyncro	7
opensynergy	0
opensynthfw	0
opensysadmin	0
opensysmeca	0
opent120	0
opent4c	0
opentab	9
opentableengine	0
opentabletrick	0
opentac2	0
opentactics	0
opentag	0
opentags	0
opentaint	0
opentalk	0
opentalkbot	0
opentank	0
opentanks	0
opentapi	0
opentappo	0
opentaps	11427
opentapsdeploy	0
opentasks	0
opentassel	0
opentau	0
opentax	0
opentaxi	0
opentaxonomy	0
opentaxreturn	0
opentaxsolver	890
opentb	0
opentca	0
opentcg	0
opentci	1
opentcm	0
opentd	0
opentdm	0
openteacher	83
openteamboard	0
openteamserver	0
opentechdict	0
openteddy	55
opentel	27
opentelco	0
opentem	0
opentemplate	0
opentempus	0
opentender	39
opentennis	0
openterminal	0
opentermserv	2
opentest	0
opentestbr	0
opentestman	63
opentesttool	0
opentetris	70
opentetron	0
opentext	2
opentexteditctl	0
opentheftauto	0
opentheme	277
opentheory	2
opentherapy	0
openthesaurus	0
openthief	0
openthinclient	2059
openthought	66
openthreads	226
openthreshold	0
opentibclient	18
opentibia	5355
opentibiacp	0
opentibiame	0
opentick	0
openticket	48
opentickets	0
opentictactoe	0
opentides	0
opentiff	149
opentiles	12
opentill	0
opentime	2
opentimesheet	61
opentimetool	320
opentimetracker	0
opentiptel	0
opentitler	1
opentitus	3
opentl	0
opentlk	0
opentm	0
opentml	0
opentmp	0
opentms	12
opentnf	1
opentnl	255
opentoken	0
opentoolkit	0
opentools	3
opentor	197
opentoro	506
opentournament	0
opentower	0
opentox	0
opentpl	11
opentps	0
opentpv	0
opentraces	0
opentrack	16
opentracker	0
opentracker-fw	15
opentrader	0
opentraderfw	0
opentradingdesk	0
opentraffic	0
opentrafficsim	0
opentrail	0
opentrain	0
opentraining	0
opentrainsim	0
opentramsim	0
opentranquera	71
opentrans	0
opentranscribe	87
opentransit	0
opentranslate	0
opentranslator	0
opentransnet	0
opentrats	0
opentravia	0
opentrd	0
opentree	0
opentreelib	0
opentrends-ocms	0
opentrep	17
opentress	0
opentrial	0
opentribe	0
opentripletriad	0
opentrivia	0
opentrueke	5
opentrumpf	0
opentrust-pam	52
opents	0
opentsmin	0
opentss	0
opentt	158
opentt3d	0
openttd	11877
openttd-psp	495
openttpm	0
opentts	44
opentty	0
opentube	0
opentuner	0
openturns	81
opentutor	0
opentv	0
opentvlistings	0
opentvschedul	0
openty	0
opentype	0
opentzt	405
openuat	20
openuav	0
openuci	204
openuddi	395
openuddi-dotnet	0
openufs	8
openuhs	47
openui	0
openuikit	0
openuml	0
openumls	0
openundo	0
openunion	0
openuniverse	980
openunrealengin	0
openuo	172
openup	0
openup-br	4
openupdate	26
openupload	672
openupsmart	20
openurl	3
openurp	28
openusb	263
openusbconnect	0
openusbfxs	0
openuserful	72
openuss	186
openut	87
openutils	0
openutilsformat	1
openutp	0
openvacation	8
openvanilla	225
openvas	0
openvatarwpplug	2
openvault	0
openvaya	0
openvbms	0
openvbn	0
openvcc4	0
openvcf	0
openvcp	38
openve	0
openvend	0
openverse	17
openvetmed	0
openvhf	0
openvibe	20
openvid	6
openvideostore	0
openvidia	1813
openview	0
openvignette	0
openvip	607
openviper	0
openvis	0
openvisa	13
openvision	0
openvision3d	0
openvisrwth	0
openvista	2625
openvl	44
openvm	0
openvmpsportal	0
openvmrc	2
openvncpro	0
openvoc	0
openvocoder	0
openvod	136
openvoice	0
openvotesystem	0
openvp	9
openvpki	9
openvpn	1108
openvpn-admin	2226
openvpn-control	1505
openvpn-gui	0
openvpn-pki	0
openvpn-status	76
openvpn-web-gui	510
openvpnals	0
openvpngui	0
openvpnjfe	33
openvpnkeydist	19
openvpnmanager	2
openvpnmngr	288
openvpnsmartcon	0
openvpnsystray	0
openvpp	11
openvps	0
openvrl	7
openvrml	2586
openvrr	0
openvspkm	0
openvt7	0
openvulture	85
openvxi	228
openvz	0
openvzcontrol	0
openw	0
openwaf	1
openwag200	1514
openwag54g	0
openwale	0
openwallet	6
openwamp	0
openwar	0
openware	0
openwarehouse	0
openwarhammer	0
openwarhq	0
openwarlords	0
openwarrts	0
openwars	8
openwarsim	2
openwatchme	0
openwaves	8
openwbe	0
openwbem	198
openwbs	0
openwd	0
openweather	4
openweaverx	0
openweb	0
openweb-ng	0
openweb20	0
openwebads	0
openwebapplicat	55
openwebarch	0
openwebbuilder	0
openwebchat	2
openwebcms	0
openwebdb	0
openwebedit	0
openwebfilter	13
openwebflow	0
openwebgui	0
openwebide	0
openwebload	730
openweblog	0
openwebng	0
openweboffice	0
openwebpm	5
openwebqt	0
openwebservo	47
openwebsite	3
openwebspider	1189
openwebstats	50
openwebsuite	1175
openwebsurvey	0
openwebterm	13
openwebwatcher	13
openwebwork	225
openwengo	0
openwf	0
openwf-com	0
openwfe	1076
openwfe-sdms	0
openwg	0
openwhiteboard	0
openwi	0
openwide	0
openwidgets	0
openwids	0
openwifiphone	0
openwiki-ng	109
openwikidpad	0
openwimax	0
openwinbot	0
openwince	2357
openwindhtml	0
openwings	0
openwinvpn	262
openwireless	0
openwireproject	0
openwish	0
openwiz	22
openwl	4
openwmiwbem	0
openwms	319
openwms2005	10
openwns	0
openwolf	3
openwonders	11
openworkbench	2637
openworkplace	0
openworks	0
openworld	0
openworld3d	0
openworlds	0
openworldsoccer	555
openworldunix	0
openworship	6
openwound	8
openwrestling	0
openwris	0
openwrite	0
openwriter	6
openwrt	0
openwrt-stats	4
openwrtstorlink	0
openwsc	0
openwsman	314
openwsn	0
openwspl	3
openwspolicy	5
openwss	0
openwwtp	0
openwysiwyg	0
openx3d	0
openxava	3786
openxbee	0
openxcat	0
openxcf	110
openxdap	0
openxdas	312
openxdk	1060
openxdm	4
openxdot	0
openxds	0
openxfi	0
openxfs	0
openxfs004	0
openxfss	0
openxio	0
openxls	459
openxml-daisy	1579
openxml4j	665
openxmlapinet2	0
openxmlcompress	0
openxmlconv	0
openxmr	0
openxp	0
openxpertya	189
openxpki	251
openxplore	0
openxps	1
openxr2	0
openxrd	5
openxri	130
openxspell	39
openxul	0
openxup	7
openxwa	6
openxylo	23
openyahtzee	1526
openyalim	0
openyard	0
openymsg	261
openzaurus	77
openzelda	79
openzet	0
openzigbee	0
openzion	0
openzip	0
openzipit	64
openzipservlet	0
openzis	0
openzmail	0
openzoeos	0
openzoom	7
openzoom-org	0
openzz	8
opeprintrip	0
oper17	8
opera2gmailcsv	28
operabd	3
operanotes	0
operant-cond	0
operationgolem	0
operationschool	0
operationwar	0
operationxbox	0
operator	0
operatorslv	0
operon	0
operonworkflow	0
operreport	10
opes	0
opet	36
opex-cms	4
opfnet	135
opfr	0
opframeworks	0
opgw	0
oph	0
ophcrack	397525
opheliadev	1
ophelp	0
ophidian	1
ophis	0
ophone	0
ophotlist2html	42
ophptk	0
ophtagnu	0
ophyr	0
opi2	114
opiam	11
opiate-games	0
opie-cinput	24
opie-ckeyboard	21
opimiseur	0
opims-applevel	0
opina	0
opiname	0
opiner	0
opinionspace	0
opiss	0
opium	252
opium-patch	0
opjmodeleditor	0
opjmodeler	0
opl	0
opl-dev	1715
opla	0
oplaty	3
oplc	0
opld1	45
ople	2
oplm	0
oplmadmin	0
oplot	94
oplsepublibrary	40
opm	0
opmc-opengeomap	0
opmenu	5
opmgmacc	0
opml	0
opml-creator	15
opmlbuilder	0
opmlconv	3
opmon	0
opms	0
opmservices	0
opn	0
opndrs	1
opnmotion	0
opnode	72
opnro	0
opnrzr	0
opnsrcfootball	0
opntibia	0
opnydata-nuke	0
opos	0
oposdev	0
opowapi	0
opp	0
oppc	0
oppcos	7
oppkompendium	0
oppl	13
oppoc	4
oppriss	0
opprode	0
opproject	3129
opproman	0
oppsim	0
opr	83
oprax	0
oprm	0
oprnlis	0
oprobe	10
oprofile	2197
oproject	0
oproxy	0
oprpg	0
oprpm	1
ops	121
ops-framework	0
ops-strawberry	0
ops-ups	0
opscomuna	0
opsi	3818
opsim	50
opsis	33
opskit	0
opsmodelling	4
opsrv	199
opssuite	13
opstarlink	0
opstation-qt	3
opsuperlib	3
opsview	236
opsys	0
opt	144
opt4j	100
optalgtoolkit	290
optarithimage	0
optd	0
optdist	0
optdoc	2
optersoft	0
optex	1
optgene	0
opti-wrx	0
optia	0
opticalaccessib	0
opticalcontrols	0
opticalm8	0
opticks	0
opticon	0
opticphpscanner	0
optiheart	5
optijey	0
optik	183
optikus	0
optiloud	0
optilux	46
optima	23
optimaes	0
optimal-sudoku	0
optimaldnn	0
optimaos	0
optimefe	2
optimierung	1
optimistix	0
optimix	0
optimizationlib	0
optimize	0
optimizedesk	0
optimizedstack	6
optimizejoomlam	0
optimizer	42
optimus	0
optimusfs	0
optiocd	11
option	24
optionoverkill	2
optionpricer	0
optionskeeper	0
optionutil	12
optionzero	18
optipng	5003
optiport	0
optis	0
optisearch	0
optiselect	1
optisurvey	0
optiswitch-sim	0
optk	0
optmshtml	27
optobrowse	0
optopos	12
optorsim	0
optparse	2
optransdevice	0
optres	0
optronic	77
optsuite	3
opttelehealth	0
optykbase	0
opuk	0
opulence	0
opulus	94
opus	0
opuscroll	0
opuspipe	0
opusvinum	0
opwc	0
opwoco	0
opx	59
opyo	0
oql2jdo	0
oqp	0
oqs	0
oquery	0
oquote	198
or-mvc-gui	2
ora	0
ora-architect	0
ora-db-rapid	0
ora-hot-bkp	37
ora-info-schema	41
ora-logger	7
ora-null-for-pg	8
ora-rep-mon	0
ora-safe-search	6
ora-squint	0
ora2html	93
orablog	10
orac	0
orac2k	0
oracaml	24
oraccelerator	26
oracdd	0
orace	496
oracle	10
oracle-apex	45
oracle-howto	0
oracle-jutils	53
oracle-ox	0
oracle-sdo	4
oracle-sql	3
oracle-tablelog	0
oracle-xmpp	52
oracleadmin	0
oracleapexcmsso	0
oracleauditor	5
oraclecalendar	51
oraclechecker	46
oracledbatool	0
oracleeditor	150
oraclelib	1
oraclelifesci	2
oraclelog	0
oracleoccifxkit	16
oracleodbc	5
oraclepaf	0
oracleqt	43
oraclescripts	26
oraclesessionbr	27
oraclesql	21
oraclestatspack	38
oracletuner	0
oraclezeus	0
oracolo	0
oracus2003	48
orad	0
oradfw	0
oradio	0
oradoclet	17
oradump	46
oradumpanalyze	39
oraemon	0
oraexp	29
oraformbase	0
orahotbu	0
oraj	0
orajdbclink	40
oralive	0
oraload	33
oralog	17
oramail	14
oraman	22
oramanager	0
oramin	0
oramon	0
oranfs	7
orange	0
orange-angel	0
orange-jfast	5
orange3d	0
orangeade	0
orangeagentsyst	0
orangeboard	0
orangebox	0
orangecatfeedre	0
orangegears	237
orangehrm	13909
orangehrmmod	0
orangejeos	185
orangelin	52
orangemesh	215
orangemile	0
orangenigma	0
orangepay	0
orangeplayer	80
oranges	0
orangeserver	68
orangesto	0
orangeticket	0
orangetools	0
orangeve	0
orangeview	0
orangutan-lib	139
oranje4	41
oranjestad	6
oranna	0
oraoink	3
oraperf	39
orapgsqlviews	0
orapp	94
orapub-osm	0
orarelettr	75
oraresprof	17
oraschemadoc	148
orasemweb	0
orashield	0
oratcl	360
orate	7
oratio	0
oratiopr	6
oratk	0
oratools	0
oratopg	0
orator	0
oratorio	0
oratorum	0
orats	0
oratweet	15
orautil	218
orautils	5
oravfs	0
orayen	0
orb	7
orb-cct	9
orbaddons	15
orbani	0
orbbase	0
orbcon	10
orbconnect	0
orbeon	63
orbframe	4
orbframework	1
orbgate	4
orbhome	23
orbim	0
orbis	10
orbiscad	210
orbisgis	0
orbit	0
orbit-dx	0
orbit-python	20
orbit-resource	0
orbit3d	12
orbit42-base	14
orbit42-page	0
orbita-nplayer	18
orbitada	26
orbital	0
orbitald	0
orbitcpp	8
orbitengine	0
orbitercombat	9
orbiterdotnet	0
orbitermp	63
orbitervis	0
orbitfaq	73
orbitgantt	0
orbitphpchatter	85
orbitronvts	0
orbits	0
orbitsim	0
orbitsme	8
orbitste	0
orbitvx	0
orbitwar	0
orbix-compiere	0
orbmud	0
orbog	0
orboros	0
orbroker	42
orbs	0
orbsearch	0
orbsims	0
orbtech	0
orbustra	0
orbview	5
orbzilla	0
orc	14
orc-a	3
orc-dotnet	0
orc-openmp	16
orca	12
orca-robotics	145
orca-system	5
orca-www	0
orcaccp	0
orcacrm	0
orcan	13
orcas	0
orcasoracle	0
orcatorrent	0
orcha	0
orchard	16
orchardpatches	0
orchestra	0
orchestrass	0
orchestrator	0
orchid	0
orchidcms	0
orcl-gcal-syn	0
orclib	1036
orclscripts	0
orcnrole	0
orcomsys	0
orcos	0
orcoto	0
orcs	0
orcus	6
orcus-smarthome	0
orcwar	30
ordbassicur	2
ordeal	0
orderentry	0
orderentryapp	0
orderentrysyste	0
orderformmanage	0
orderintegrator	114
orderline24	0
orderlycalls	63
ordermanager	0
ordernotifier	17
orderportal	378
ordertool	9
orderweb	0
ordi	34
ordinanzetraspo	0
ordman	0
ordo	4
ordorerum	0
ordrumbox	12888
ords	0
ordweb	0
ore	59
ore-as	1
ore-net	0
oreauthor	2
orechem	0
orecs	0
oreeve	0
oref	1
oregano	0
oregano2	21
oregex	1
oregofrontpacks	0
oregon-trail-x	0
oreivr	0
orejotemplate	0
oreka	1463
oreneta	3
orenx	0
oreo	0
oreon	0
oreports	3383
oreproject	257
oreprovider	3
orestore	0
orexio	0
orexma	0
orexp	2
orf	24
orfaniknsiside	0
orfeo	0
orfeo-toolbox	1078
orfeogpl	0
orfont	0
org	0
org-jutil	15
org-libsdl	3
orgami	0
organ-izer	1
organag	0
organdesigner	16
organetzer	0
organic	0
organic-shop	20
organicbuilder	102
organicchemi	0
organicchemistr	0
organictrade	0
organigramme	0
organik	0
organika	0
organise-fw	0
organise-ui	0
organiz	1
organization	3
organizator	2
organize	0
organizer	0
organizer-media	0
organizerdock	0
organizersdb	67
organosi	0
organote	73
orgapp	34
orgasmica	0
orgcal	7
orgchart	106
orgcharter	0
orgdirectory	16
orgkeyphrene	21
orgldap	0
orgmusic	46
orgonline	0
orgparty	1
orgphoto	0
orgraph	0
orgster	0
ori	0
orianpl	4
oribi	3
oridict	6
oriel-workbench	2
orient	6
orient-ecircus	10
orient-fixer	25
origami	0
origaminet	0
origamiwars	0
origamix	0
origin	0
origin42	0
originaldigital	0
originale	0
originalgamer	14
originalsynth	46
orihalcon	65
orilib	81
orimage	13
orion	0
orion-backup	42
orion-cf	0
orion-client	6
orion-forum	0
orion2000	3
orion3d	47
orionas	0
orionmlm	0
orionmxml	0
orionproj	0
orionproject	0
orionrpg	0
orionsbelt	45
orionsmg	49
orionsscript	0
orionx	0
orisvg	0
orius	0
orixa	0
orixbot	0
oriya	0
oriyatrans	0
orizound	0
ork	0
ork-api	2
orkestra	0
orklinux	0
orkmaterialedit	0
orkshun	0
orkut	0
orkutalert	561
orkutmessenger	0
orlandocms	2
orlaweb	1
orleanmk	1
orlib	0
orlicfamilytree	0
orlymp	0
orm	416
orm-net	369
orm4j	1
orma	0
ormanagerdotnet	0
ormf	0
ormfw	0
ormgen	22
ormmodeling	0
orms	0
ormyx	9
ornatus	0
ornet	0
oro	0
oroboros	0
oroborosx	0
oroborus	0
orodruin	37
oroede	0
oroena	0
orome	3
oropuro	144
orp	44
orpal	56
orpersistence	375
orpg	0
orpg2k	3
orpggs	0
orpgnet	0
orpgp	0
orphan	0
orphanpm	0
orpheon	4
orpheus	0
orphne	3771
orpp	26
orrguitar	55
orrickmp3	1
ors-reserve	0
orsa	574
orsee	223
orseis	0
orsochpasswd	341
orson	181
orss	0
orsysprep	0
ort	17
ort-conquest	0
orta	0
ortc	7
orthoepikon	6
ortholytics	0
orthomcl	1
orthos	0
orthotex	0
ortisma	0
ortoprog	3
ortro	55
orts	19
orts3	0
orunit	5
orwell	0
orx	434
orx-irc	1
orxonox	0
oryanoowebmail	0
oryx	20
oryxmp3	13
oryxspms	0
os-cafe	0
os-central	49
os-development	0
os-dp	0
os-eirc	0
os-elo	0
os-mimir	0
os-next	0
os-ohio	34
os-physics	0
os-promo-distro	0
os-sim	828
os-star-trek	0
os-stravacalcio	0
os-suite	0
os-syscheck	0
os-td-shooter	0
os-timetrack	1
os-underscore	0
os-weblib	56
os-work	0
os2-oorexx	0
os234	0
os2888	0
os2linux	0
os3	0
os3a	12
os3grid	108
os400bridge	0
os42	0
os42tremmap	0
os4gc	0
os561	1
os71	0
os890	0
os9exec	458
osa	0
osa-lam	27
osab	0
osacbmmodular	45
osacbmtestbench	13
osacs	0
osadm	0
osads	208
osaf	63
osafsample	0
osage	5
osagv	0
osai	0
osake	0
osalcproject	0
osalp	175
osam	0
osamos	88
osams	0
osan	0
osanm	0
osappgen	0
osarchiver	7
osas	449
osat-1-obd2	0
osauction	0
osaudit	0
osaware	0
osb-usbstickgui	0
osbb	0
osbe	5
osbi	0
osbiplatform	18
osbk	0
osbl	30
osblogger	0
osbob	0
osbootcamp	0
osbot	8
osbroadcast	0
osbs	0
osbulletin	0
osbvs	0
osc	656
osc-es-portal	0
osc-extra	0
osc-friendly	0
osc-mattice	0
osc-midiconvert	0
osc-open	0
osc-optimized	0
osc-paymentdpos	12
osc-php	0
osc2mage-cust	0
osc4wp	0
oscacatoo	0
oscaf	0
oscailt	56
oscal	4
oscalc	0
oscam	0
oscampus	0
oscan	0
oscar	1301
