#  file: sfRawDownloads2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes downloads data for each project. This info 
#  is summed from the daily download data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(downloads) 
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  downloads: the sum of downloads for this 60-day period 
proj_unixname	sum(downloads)
acadnuke	0
acafe	161
acago	0
acai	4
acal	1
acalproj	764
acami	198
acap-val-parser	0
acapd	0
acara	0
acarsdec	6
acarsxx	0
acaschedulecode	0
acasha	0
acassist	1
acb	0
acbic	0
acbr	2175
acbuild	0
acc	4
acc-attack	0
acc-vip-iop	0
accada	0
accada-ale	0
accada-epcis	0
accada-hal	0
accada-reader	0
accada-tdt	0
accadict	2
accat	18
accc	5
accdatatable	0
accedit	4
acceditor	1
accel	0
accel-fb	0
accel-pptp	150
accela	14
acceldirection	0
acceleratedcc	0
acceleratedwinx	0
acceleration	0
accelerator	0
accelerator-ml	0
accelerator3d	70
accelerobeta	0
accell4d	0
accentplugin	3
acceptance	0
accesctr	0
access-svn	11
access2psql	13
access2sql	213
accesscontrol	2
accessdb	318
accessdbf	0
accessgrid	0
accessibility	1
accesslib	0
accesslos	2
accessmusic	0
accessor	0
accessqlite	0
accessreferer	0
accessroad	0
accessrunner	0
accessserver	0
accessshading	0
accesstools	0
accesstream	0
accessunit	0
accessviewer	0
accessweb	0
accgenx	0
accha	0
accident	0
accidentdb	0
accip	0
accipiter	0
accmanager	0
accms	0
acco	0
accolorhelper	0
accompanistbill	0
accomplice	0
accomplishments	0
accordeon-cms	0
accordeur	0
accordian	0
accouma	0
account-manager	0
account-mgr	0
account4xoops	0
accountadillo	0
accountancy	0
accountant	0
accountbook	0
accountcrm	0
accounter	0
accountex-xpi	0
accounting-mod	0
accounting4me	0
accountingcross	0
accountis	0
accountlock	0
accountmanager	0
accountmgm	0
accountoverview	0
accountplus	0
accounts4j	0
accountsmanager	0
accountssummary	0
accousti-x	0
accpacnetlibrar	0
accpal	0
accre	0
accrete	0
accs	0
accsoft	0
accsqlworksheet	0
acctgsys	0
acctmgr	0
acctsync	0
accttrsh	0
accua	0
accugo	0
accumed	0
accurev-ant	0
accurev-idea	0
accurevcoderevi	0
accushot	0
accutrak	0
accutron2000	0
acd	0
acd-barguide	0
acdb	0
acdcontrol	0
acdesk	0
acdev	0
acdir	0
acdk	0
acdm	0
acdmaneger	0
acdo	0
acdrparser	0
acds	0
acdsac	0
acdt	0
acdx-c	0
ace	0
ace-ajax-chat	0
ace-freebsd	0
ace-gmailclient	0
ace-radius	0
aceacademy	0
acebook	0
acecaptrade	0
acechatserver	0
acecms	0
acedns	0
acefe	0
acegi-ext	0
acegi-test	0
aceginet	0
acegisamples	0
acegisecurity	0
aceituna	0
acejudge	0
acelet-alog	0
acell	0
acelogger	0
acemprojects	0
acemu	0
acemulator	0
acentuaruby	0
aceoperator	0
aceos	0
aceracpigui	0
acerhk	0
acerhkgui	0
aceromath	0
acertemplogger	0
acervonline	0
aces	0
aces-high-code	0
acesdownz	0
aceserv	0
aceserver	0
aceslayer	0
acesstvdigital	0
acesup	0
acesupmobile	0
aceswitch	0
acetaociao	0
acethreatmeter	0
acetone	0
acetoneisoi18n	0
acetoolkit	0
acetree	0
aceunit	0
aceyget	0
acf	0
acforbittorrent	0
acfproj	0
acfreeproxy	0
acftp	0
acfused	0
acg	0
acgc	0
acgs	0
acgsuing	0
acgtracker	0
acgvision	0
ach	0
achaeacure	0
achaeasys	0
achaeasystem	0
achanis	0
achape	0
acharacter	0
achat	0
achecker	0
achelous	0
achernar	0
acheron-l	0
achievepro	0
achievo-modules	0
achilles	0
achlsg	0
achtung-kurve	0
achviewer	0
achwrapper	0
acid	0
acid3lib	0
acidblood	0
acidbox	0
acidcp	0
acidcult	0
acide	0
acidforum	0
acidgames	0
acidic32	0
acidim	0
acidircd	0
acidlab	0
acidmon	0
acidmud	0
acidrip	0
acidsecrets	0
acidview6-win32	0
acidxoops	0
aciksb	0
acinerella	0
acip	0
aciqqezet	0
acirc	0
acity	0
ack	0
ackaboo	0
ackeralbums	0
ackertodo	0
ackertray	0
ackord	0
ackpoller	0
ackronic	0
ackterm	0
acl	0
acl-browser	0
acl-jaws	0
acl-tftp	0
acl-trend	0
aclanalyser	0
aclassutil	0
aclazarus	0
aclbit	0
aclean	0
aclibexif	0
aclibico	0
aclip	0
aclocator	0
aclog	0
acloneboard	0
aclsimulator	0
aclutil	0
acm	0
acm-system	0
acm-uc	0
acm1pt	0
acm2vclub	0
acmas	0
acmco-kb	0
acmcontester	0
acmdoc	0
acme	0
acme-sac	0
acme3d	0
acmearchsim	0
acmedupl	0
acmehardwarelig	0
acmemail	0
acmeschool	0
acmgen	0
acmgr	0
acmmp3encoder	0
acmnes	0
acmod	0
acms	0
acms-liveupdate	0
acmsreporter	0
acmtoolsforvs	0
acmup	0
acmus	0
acmwebsite	0
acmx	0
acnexus	0
acnik	0
aco	0
acocc	0
acode	0
acodegen	0
acolytemtg	0
acom-c	0
acoma	0
acommando	0
acompanhantes	0
acompiler	0
aconcagua	0
aconcorde	0
aconiacpassword	0
aconix	0
acop-pc	0
acorairc	0
acorapos	0
acorn	0
acorncd	0
acorndb	0
acorndrop	0
acornhunt	0
acornicq	0
acornutils	0
acos	0
acosi	0
acostplanstanic	0
acountant	0
acountthing	0
acoustic-memory	0
acousticspace	0
acoustmeas	0
acousto	0
acovea	0
acp	0
acp-2	0
acp-cherry	0
acp3	0
acpi	0
acpi-dialog	0
acpi-largesys	0
acpi4asus	0
acpiclient	0
acpicputhrottle	0
acpid	0
acpimodtester	0
acpimon	0
acpitool	0
acpitoolgui	0
acpiw	0
acpmodem	0
acprac	0
acqlite	0
acquasync	0
acquiesce	0
acquire	0
acquiregame	0
acr-gui	0
acrash	0
acre	0
acrilyc	0
acripper	0
acron	0
acronym	0
acropadd	0
acrophobia	0
acropolis	0
across	158
acrs	0
acryl	10
acrylic	27
acrypt	17
acryptohashnet	14
acscriptworks	3
acsct	0
acsdebris	0
acserver	0
acsf	1
acss	0
acsym	0
act	0
act-cv	7
act-o	6
act-rbot	37
acta	0
actaw	3
actb	0
actc	34
acte	5
actedit	0
actemit	0
acterm	0
actetris	0
acteurs	0
actexport	5
actif	3
actinictools	0
actinium	0
action	0
action-queue	12
actionableids	4
actionaz	0
actioncache	6
actioncrypt	149
actiondirectory	16
actionfactory	5
actionframework	12
actionfusion	4
actiongame	163549
actionitemalert	0
actionlibmx	0
actionlink	0
actionmach	0
actionmmo	0
actionpoll	298
actions	0
actions-ds	0
actions-net	0
actionscript	20
actionsdbmanage	0
actionshooter	0
actionstep	0
actis	1
activ	0
activ-porthole	0
activa	969
activator	0
active	4
active-ist	58
active-jms	51
activeagenda	84
activebliss	0
activeboard	2
activebpel	0
activedefense	0
activedirftp	0
activegem	1
activegrid	83
activehl7	0
activeim	0
activejob	0
activelife	0
activelock	406
activemap	0
activemindsys	0
activemon	0
activemsn	38
activeodma	0
activeos	0
activepassword	0
activerecord	0
activerecordnet	0
activerecordobj	0
activerender	0
activereport	133
activersion	0
activerules	0
activesetuptool	9
activesql	0
activesync	0
activeui	145
activevalid	0
activewiki	0
activewinamp	690
activewire-osx	23
activewizard	10
activex	311
activexml	0
activexmlr	0
activexp	65
activismnetwork	6
activity-logger	10
activityindicat	110
activitylog	0
activitylog-win	0
activityscript	0
activityspace	42
activitystudio	57
activitytracker	0
activscm	0
actl	0
actlabtv	76
actminer	35
acto	0
actoframework	13
actor	20
actos	0
actr-sos	0
actr-wn-lexical	0
acts	0
actsassvn	0
actualiza	24
actualizadix	0
actualizer	0
actuall	0
actwire	3
acubbill	0
acudos	11
acui-agenda	0
acuity	0
acumen	0
acumetric	0
acusto	0
acuview	0
acv	0
acweb	0
acx100	0
acy-7	0
ad-coit	0
ad-gallery	0
ad-hoc-networks	0
ad-infinitum	0
ad-system	0
ad1000	84
ad4unix	205
ad7924	0
ad9850-control	24
ada	2
ada-autoit	6
ada-connect4	0
ada-player	3
ada-spread	5
ada2gxl	0
ada95osxbinding	0
adaapter	0
adac	0
adacf	8
adacontrol	0
adadl	0
adadoc	206
adads	0
adaf	0
adafornetbeans	23
adafrom	0
adage	0
adage4	0
adagegame	0
adagen	2
adagide	694
adago	2
adai	0
adaimgsvr	127
adal	22
adalogo	0
adam	0
adam-soft	0
adam-traffic	231
adam15dosgame	2
adam3d	0
adamant	0
adambots-live	67
adamo	36
adamof	0
adams	0
adamserver	0
adamsoft	148
adamultimedia	0
adan	0
adancedremote	0
adaparse	2
adapc	4
adapdev	0
adaprojet	9
adapt	0
adaptagrams	19
adaptbb	85
adaptcms	228
adaptergen	0
adaptergenerato	0
adaptit	15
adaptive-api	29
adaptive-gcc	0
adaptive-gui	0
adaptive-ioc	1
adaptivebus	0
adaptivecacheal	0
adaptivecellsj	21
adaptiveobjectc	0
adaptivequickse	1
adaptivetrapex	0
adaptmot	18
adaptproject	0
adaptube	29
adaptweb	39
adara	0
adas	0
adasdl	35
adasl	13
adastar	0
adastra	2
adatabase	0
adatabasetable	0
adatoccpp	82
adatris	0
adaworks	0
adax	0
adayinthebay	11
adb	716
adbd	11
adbgone	10
adbi	0
adbkv1	0
adblock-rules	0
adbmanage	0
adbnewssender	78
adbsql	19
adc	0
adcalc	183
adcarouseljs	39
adcenter	1
adchnet	4
adchpp	130
adclient	0
adclock	0
adcomercial	0
adconsole	0
adcportal	0
adcviewer	0
add	0
add-alarm-clock	0
adda	0
addalink	0
addam	0
addanc	0
addbookdb	0
addheadertocs	0
addicted	0
addictionfree	0
addieland	0
addininsert	0
additionof2numb	0
addl	0
addline	0
addmaker	0
addmaster	0
addmesocialbook	0
addon-projekt	0
addonmanager	0
addrbook	0
address	5
address-ldap	0
address-util	12
address550	0
affb	0
affiliates	0
affiliatetrends	0
affiliatewv	0
affilihost	0
affinitychanger	0
affinityhtml	0
affinityos	0
affirmator	0
affisix	0
affix	0
afflib	0
affmarket	0
